state,district,district_number,candidate,party,ballotpedia_status,election_phase,incumbent,candidate_connection,candidate_url,source_url,raw_candidate_text,source_table_index,source_table_columns,section_note
Texas,District 1,1,Nathaniel Moran,Republican Party,active,General election,True,False,https://ballotpedia.org/Nathaniel_Moran,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Nathaniel Moran (Incumbent) (Republican Party),,,
Texas,District 1,1,Yolanda Prince,Democratic Party,active,General election,False,False,https://ballotpedia.org/Yolanda_Prince,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Yolanda Prince (Democratic Party),,,
Texas,District 1,1,Sonia Canchola,Independent,active,General election,False,False,https://ballotpedia.org/Sonia_Canchola,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Sonia Canchola (Independent),,,
Texas,District 1,1,Dax Alexander,Democratic Party,active,Democratic primary runoff,False,True,https://ballotpedia.org/Dax_Alexander,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Dax Alexander,,,
Texas,District 1,1,Yolanda Prince,Democratic Party,active,Democratic primary runoff,False,False,https://ballotpedia.org/Yolanda_Prince,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Yolanda Prince,,,
Texas,District 1,1,Dax Alexander,Democratic Party,active,Democratic primary,False,True,https://ballotpedia.org/Dax_Alexander,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Dax Alexander,,,
Texas,District 1,1,Tracy Andrus,Democratic Party,active,Democratic primary,False,True,https://ballotpedia.org/Tracy_Andrus,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Tracy Andrus,,,
Texas,District 1,1,Yolanda Prince,Democratic Party,active,Democratic primary,False,False,https://ballotpedia.org/Yolanda_Prince,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Yolanda Prince,,,
Texas,District 1,1,Masika Akilah Ray,Democratic Party,active,Democratic primary,False,False,https://ballotpedia.org/Masika_Akilah_Ray,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Masika Akilah Ray,,,
Texas,District 1,1,T.J. Baker,Democratic Party,did_not_make_ballot,Democratic primary,False,False,https://ballotpedia.org/T.J._Baker,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",T.J. Baker,,,
Texas,District 1,1,Nathaniel Moran,Republican Party,active,Republican primary,True,False,https://ballotpedia.org/Nathaniel_Moran,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Nathaniel Moran (Incumbent),,,
Texas,District 1,1,Ryan Nichols,Republican Party,did_not_make_ballot,Republican primary,False,False,https://ballotpedia.org/Ryan_Nichols,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Ryan Nichols,,,
Texas,District 2,2,Shaun Finnie,Democratic Party,active,General election,False,False,https://ballotpedia.org/Shaun_Finnie,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Shaun Finnie (Democratic Party),,,
Texas,District 2,2,Steve Toth,Republican Party,active,General election,False,False,https://ballotpedia.org/Steve_Toth,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Steve Toth (Republican Party),,,
Texas,District 2,2,Shaun Finnie,Democratic Party,active,Democratic primary,False,False,https://ballotpedia.org/Shaun_Finnie,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Shaun Finnie,,,
Texas,District 2,2,Tyrone Price,Democratic Party,did_not_make_ballot,Democratic primary,False,False,https://ballotpedia.org/Tyrone_Price,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Tyrone Price,,,
Texas,District 2,2,Daniel Crenshaw,Republican Party,active,Republican primary,True,False,https://ballotpedia.org/Daniel_Crenshaw,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Daniel Crenshaw (Incumbent),,,
Texas,District 2,2,Martin Etwop,Republican Party,active,Republican primary,False,False,https://ballotpedia.org/Martin_Etwop,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Martin Etwop,,,
Texas,District 2,2,Nicholas Plumb,Republican Party,active,Republican primary,False,True,https://ballotpedia.org/Nicholas_Plumb,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Nicholas Plumb,,,
Texas,District 2,2,Steve Toth,Republican Party,active,Republican primary,False,False,https://ballotpedia.org/Steve_Toth,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Steve Toth,,,
Texas,District 2,2,Jon Bonck,Republican Party,did_not_make_ballot,Republican primary,False,False,https://ballotpedia.org/Jon_Bonck,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Jon Bonck,,,
Texas,District 2,2,Jameson Ellis,Republican Party,did_not_make_ballot,Republican primary,False,False,https://ballotpedia.org/Jameson_Ellis,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Jameson Ellis,,,
Texas,District 2,2,T.C. Manning,Republican Party,did_not_make_ballot,Republican primary,False,False,https://ballotpedia.org/T.C._Manning,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",T.C. Manning,,,
