state,district,district_label,district_id,incumbent,incumbent_party,pres_source,pres_dem_votes,pres_rep_votes,pres_total_votes,pres_dem_share,pres_rep_share,pres_dem_margin,pres_2020_dem_votes,pres_2020_rep_votes,pres_2020_total_votes,pres_2020_dem_margin,pres_two_party_total,pres_two_party_dem_margin,pres_winner_party,pres_winner,cong_dem_votes,cong_rep_votes,cong_total_votes,cong_winner_party,cong_winner_candidate,cong_winner_votes,cong_two_party_total,cong_two_party_dem_margin,cong_dem_margin,cong_two_party_winner_party,cong_winner,state_name,redistricted_for_story,valid_pres_cong_data,split_ticket_category,split_ticket,dem_won_harris_lost,gop_won_trump_lost,house_source,presidential_source
AK,0,AL,AK-AL,Nick Begich,R,The Downballot presidential CD results,140026,184458,338177,0.4140612756041954,0.5454480937497228,-0.13138681814552738,153778,189951,357569,-0.1011636914833221,324484,-0.1369312508474994,R,Trump,156245,159550,329555,R,NICK BEGICH,159550,315795,-0.010465650184455106,-0.010028675031481847,R,Republican,AK,FALSE,TRUE,GOP won Trump-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
AL,1,1,AL-1,Barry Moore,R,The Downballot presidential CD results,73003,257060,332700,0.2194259092275323,0.7726480312593929,-0.5532221220318605,79112,243258,325715,-0.5039559123773851,330063,-0.5576420259162644,R,Trump,70929,258619,329854,R,BARRY MOORE,258619,329548,-0.5695376697779989,-0.5690093192745882,R,Republican,Alabama,TRUE,TRUE,GOP won Trump-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
AL,2,2,AL-2,Shomari Figures,D,The Downballot presidential CD results,155603,131721,290033,0.5365010188495792,0.45415866470367167,0.08234235414590757,174051,135333,312225,0.12400672591880851,287324,0.08311870919240996,D,Harris,158041,131414,289674,D,SHOMARI FIGURES,158041,289455,0.09199011936224974,0.0919205727818168,D,Democrat,Alabama,TRUE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
AL,3,3,AL-3,Mike Rogers,R,The Downballot presidential CD results,82654,229676,314869,0.2625028186325107,0.7294335104440259,-0.46693069181151525,93357,225360,322031,-0.4099077418012551,312330,-0.47072647520251015,R,Trump,0,243848,249008,R,MIKE ROGERS,243848,243848,-1,-0.9792777742080576,R,Republican,Alabama,TRUE,TRUE,GOP won Trump-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
AL,4,4,AL-4,Robert Aderholt,R,The Downballot presidential CD results,53098,267953,323449,0.16416189260130654,0.8284242647217954,-0.6642623721204889,60121,262473,325713,-0.6212585926874272,321051,-0.66922389277716,R,Trump,0,274498,277872,R,ROBERT B. ADERHOLT,274498,274498,-1,-0.9878577186618299,R,Republican,Alabama,TRUE,TRUE,GOP won Trump-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
AL,5,5,AL-5,Dale Strong,R,The Downballot presidential CD results,122344,224704,351650,0.3479141191525665,0.6389990046921655,-0.29108488553959905,122867,216418,344866,-0.271267680780361,347048,-0.2949447914985823,R,Trump,0,250322,262410,R,DALE W. STRONG,250322,250322,-1,-0.9539346823672878,R,Republican,Alabama,TRUE,TRUE,GOP won Trump-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
AL,6,6,AL-6,Gary Palmer,R,The Downballot presidential CD results,105388,239984,349125,0.30186322950232725,0.6873870390261367,-0.3855238095238095,107324,241583,353116,-0.3802121682393321,345372,-0.38971312092468413,R,Trump,102504,243741,346625,R,GARY J. PALMER,243741,346245,-0.4079105835463328,-0.4074633970429138,R,Republican,Alabama,TRUE,TRUE,GOP won Trump-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
AL,7,7,AL-7,Terri Sewell,D,The Downballot presidential CD results,180321,111517,294526,0.6122413640900973,0.378632107182388,0.23360925690770934,212792,116745,332305,0.2890326657739125,291838,0.23576093586167668,D,Harris,186723,106312,293220,D,TERRI A. SEWELL,186723,293035,0.27440749398536013,0.27423436327672057,D,Democrat,Alabama,TRUE,TRUE,Dem won Harris-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
AR,1,1,AR-1,Rick Crawford,R,The Downballot presidential CD results,72183,196035,273446,0.26397533699523856,0.71690571447379,-0.45293037747855147,80516,197832,286792,-0.4090630143100226,268218,-0.461758718654229,R,Trump,64113,194711,267177,R,"ERIC A. \""RICK\"" CRAWFORD",194711,258824,-0.5045822643958829,-0.4888070455166425,R,Republican,Arkansas,FALSE,TRUE,GOP won Trump-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
AR,2,2,AR-2,French Hill,R,The Downballot presidential CD results,131089,180710,319500,0.4102942097026604,0.5656025039123631,-0.1553082942097027,140254,183964,333041,-0.13124510195441402,311799,-0.1591441922520598,R,Trump,125777,180509,306286,R,J. FRENCH HILL,180509,306286,-0.17869572882861118,-0.17869572882861118,R,Republican,Arkansas,FALSE,TRUE,GOP won Trump-won district,FALSE,FALSE,FALSE,MIT Election Data and Science Lab House returns 1976-2024,The Downballot presidential CD results
