ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_LTG_Total,E_22_LTG_Dem,E_22_LTG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_SEN_SPEC_Total,E_24_SEN_SPEC_Dem,E_24_SEN_SPEC_Rep,Reock,Rating,Polsby-Popper,Rating,KIWYSI Score
1,1,754220,528091,138446,19709,42630,34966,3967,0,0,762137,508612,157825,23483,49763,33975,5424,0,0,764578,470282,171841,24034,55484,50682,5771,760066,470764,168674,22045,54955,49322,5439,761287,501314,161169,23528,52006,33157,5638,13701,40191,10531,1814,1068,31500,765983,487750,170443,26297,55851,35923,5387,575704,427457,87049,12662,28872,23392,2492,0,0,553919,412198,79952,13550,26479,18460,1213,11326,23603,8496,2440,0,592603,387123,115742,15965,39916,35585,3893,592603,387123,115742,10690,32761,10278,1571,3140,31298,553977,408270,82777,13733,27341,18326,1219,0,0,0,0,0,556345,401270,89785,14687,29430,17893,1427,11991,25646,6512,1427,548725,387041,94374,14814,31795,17664,1368,10926,27548,6545,1368,298354,126839,169249,274988,111913,163075,297539,106000,170897,268347,98384,169963,264122,102782,161340,292337,110364,175931,348713,136945,203185,269114,97411,167997,244649,88821,155828,247755,81173,166582,242533,85612,156921,244574,85787,158787,244351,87389,156962,242826,85624,157202,286698,103829,181095,326816,118071,199592,318547,114158,204389,311015,111738,199277,0.5203,100,0.2178,29,47
2,2,745023,537182,130088,16606,37200,32463,3745,0,0,766255,533018,144279,20492,44174,32573,4902,0,0,765738,495818,157641,21430,49834,46946,5168,760067,494857,155391,19225,49662,44891,5023,763385,526055,144650,20718,45373,32831,5157,10907,28756,12384,1558,4532,34528,763495,516609,147567,22137,48128,33243,5380,586361,444593,86227,11324,26255,21848,2543,0,0,561613,441336,63347,12064,24146,17618,1107,9129,19318,10190,2497,0,614494,420290,110048,15735,36448,33169,3672,614494,420290,110048,10483,27207,11148,1357,4154,29807,561585,438355,65382,12088,25022,17320,1135,0,0,0,0,0,567994,436793,70401,13085,27104,16220,885,9728,21688,8180,885,561259,422722,77697,13215,27422,16272,1091,9438,21293,7702,1091,366718,269008,95992,336336,241903,94433,364279,251091,85392,337123,242572,94551,331675,242578,89097,361958,261331,92202,422260,310452,101528,335638,241309,89096,308964,224570,84394,311891,220524,91367,306544,217820,88724,307901,221953,85948,306620,220708,85912,305074,215442,89632,352286,253621,95859,390252,276666,100337,382069,272237,109832,370786,263572,107214,0.2445,0,0.1795,20,22
3,3,695399,535958,85883,14912,45499,18788,3452,0,0,738323,544179,99903,18247,64065,19450,4780,0,0,764630,527995,109578,20728,77027,30440,5923,760065,527693,107658,18422,76333,30117,5695,746520,541757,105171,20098,67424,20749,5006,11449,50298,4763,1119,1448,30515,764584,539329,110196,22404,76074,21582,5686,537619,429644,55725,10403,30915,12929,2231,0,0,552951,438958,56801,10873,32496,10735,1082,8941,27591,4124,2135,0,603885,436701,74828,14325,53685,21894,3899,603885,436701,74828,9662,42953,5276,1253,3269,29943,560631,439891,61543,11630,33790,10623,1164,0,0,0,0,0,575540,444351,65380,12867,38656,10385,1479,9940,32912,3565,1479,587625,444018,70976,14107,43708,10727,1036,10865,36138,3663,1036,337587,155986,179897,322305,138573,183732,349009,148225,175609,337148,148272,188876,333135,151669,181466,363942,164763,191190,442392,211804,219696,354695,160523,189197,336169,154453,181716,339603,146746,192857,332533,147850,184683,335862,151913,183949,334227,150841,183386,331552,146960,184592,383132,175882,204569,433846,201872,218348,424011,193297,230714,417011,190453,226558,0.1337,0,0.1305,8,8
4,4,731247,432481,199974,28867,61547,19248,5504,0,0,762097,419752,225536,33024,75139,19621,6707,0,0,765137,392538,240215,33730,78666,33186,7359,760065,391914,238697,31307,78334,32399,7134,762513,414536,225768,34199,79227,19140,6542,22673,60053,4628,2615,2992,29265,763849,402395,234827,34745,81753,24401,6747,568555,361979,130255,20466,47183,13231,3678,0,0,535025,353597,106595,20601,41813,8305,1664,17923,36516,3783,2896,0,611312,338179,168374,24962,61291,24417,5141,611312,338179,168374,18287,49159,4043,2293,3493,27484,540804,352290,111094,21151,43931,8064,1511,0,0,0,0,0,545581,345223,120624,20924,45279,8117,1650,17410,38639,2718,1650,548406,331974,131482,20969,50445,7825,1960,16602,42589,2349,1960,302879,204050,97591,283603,188046,95557,313567,199588,91994,285744,184713,101031,281985,187105,94880,312536,205334,100249,373476,250454,113896,287566,187511,95716,260661,171127,89534,263151,166696,96455,259885,166544,93341,260383,169004,91379,259881,168771,91110,258648,164616,94032,307688,200248,105034,351475,225098,115327,343760,221654,122106,332289,213146,119143,0.3496,40,0.1758,19,31
5,5,723043,493211,150208,21643,45634,21043,5484,0,0,750364,478575,179170,22702,57596,19544,5800,0,0,765010,452940,195583,26716,63821,35897,7638,760065,451671,193669,24900,63007,35287,7228,752345,471077,184256,22869,61708,20919,6458,15821,46816,5312,2227,1733,25107,762983,463026,196699,27490,62189,25352,7068,554008,399733,96865,14001,31724,14762,3753,0,0,550950,390955,100742,14161,31165,10033,2028,12708,27591,4056,1945,0,599484,377863,133798,18592,45747,26338,5449,599484,377863,133798,13438,36049,5094,2464,3189,27589,554114,387381,105107,14293,33283,10283,2002,0,0,0,0,0,563128,384387,115605,16698,31726,10706,1989,13198,27458,3620,1989,569595,377290,125166,17936,34113,10493,2416,13895,28916,2920,2416,315906,138507,175819,300438,125014,175424,321883,126636,175706,307045,124748,182297,301439,126839,174600,331386,137196,188194,400862,171264,220708,308824,123104,182055,283528,112581,170947,287750,107336,180414,283574,109303,174271,284400,111373,173027,284110,111431,172679,283020,109679,173341,333479,133241,198384,380401,151656,219017,372659,147509,225150,364843,143883,220960,0.2846,14,0.167,17,33
6,6,675609,376841,137454,78570,79040,18582,9772,0,0,728224,372657,165228,89768,97141,17557,9961,0,0,756730,357148,173686,93944,118617,30593,12670,760066,358160,174324,92636,117030,29297,12161,735478,369414,165324,91380,108359,18270,9390,66994,85507,2365,4645,1931,39301,755264,365597,173754,96116,116803,23226,9419,505132,305071,86521,50243,56074,12495,6326,0,0,491603,287680,82911,55201,52263,7386,3228,49295,46951,2451,3754,0,577524,295331,117424,64045,84712,22178,8749,577524,295331,117424,50678,69237,3166,4996,3557,33135,500557,288000,85059,56321,57524,7353,3077,0,0,0,0,0,517222,286576,93890,59347,62811,7905,3082,52182,55436,1985,3082,515699,278804,97598,59933,64718,9204,2697,50878,57013,1824,2697,249896,141696,107229,233982,132682,101300,255192,139951,97012,234915,130128,104787,232032,133152,98880,263300,149024,108031,333278,192843,131441,241281,135751,101562,215695,122904,92791,218261,118748,99513,213165,117133,96032,215998,120558,95440,214268,120727,93541,212656,117096,95560,261512,146931,112325,301388,166456,124649,293347,163559,129788,287438,159993,127445,0.2705,8,0.3027,51,57
7,7,678439,251787,171910,97527,155905,17907,14719,0,0,729030,253100,189377,100724,183097,15680,19114,0,0,758120,238053,202116,101753,205743,27880,19264,760066,238259,202409,100217,203594,26863,18701,734195,249018,194224,102564,186867,15923,19735,74145,158321,2298,11999,3404,40781,753716,246186,205179,104611,196358,19662,20174,499662,208889,109930,63929,110456,11963,10109,0,0,497739,209479,101330,64169,105625,5851,7384,58301,99169,2048,5091,0,582846,204018,140253,72402,151752,20345,13839,582846,204018,140253,58896,134830,2666,8969,3387,29827,501895,207605,106178,64966,105495,6098,7596,0,0,0,0,0,523856,207727,116813,66748,114656,5703,8012,58113,107523,1207,8012,532524,201765,119733,67137,124358,5889,9074,58735,116511,1177,9074,243870,160146,82659,235158,156593,78565,261124,173116,72303,244660,159933,84727,241841,163124,78717,270918,181201,84599,339414,228896,102731,245846,162319,80372,219957,145391,74566,222374,141775,80599,217700,139425,78275,219788,143216,76572,218215,143143,75072,216986,138940,78046,267092,173950,91074,309169,195089,103105,300482,193216,107266,294911,188769,106142,0.2672,7,0.243,36,30
8,8,682720,204093,209664,136194,136374,14441,10898,0,0,734060,200205,246711,137188,156402,15870,9890,0,0,758049,181625,266560,140496,167093,28539,13281,760065,181978,267016,140076,165909,27868,12890,738244,196828,254555,135075,159558,16118,11129,107029,129185,1971,5083,4245,39351,754840,193696,265497,136035,163992,21543,12966,512237,174402,136198,95568,103232,9915,7010,0,0,478071,168343,108650,93603,93551,6230,3414,87587,87308,1628,5866,0,588571,158532,185553,104392,131671,21090,9185,588571,158532,185553,90071,115699,1773,4813,4292,27838,485447,166050,117100,92221,95640,6010,3639,0,0,0,0,0,499546,165730,126968,92958,99650,5662,4226,86265,91814,1668,4226,499446,158358,131626,90199,103518,5798,4563,82455,95953,1223,4563,245176,185468,58758,233022,181234,51788,255375,192312,49541,222246,166420,55826,217543,165187,52356,253405,191948,56991,321349,244078,70549,224817,169535,52547,193863,146163,47700,195830,144721,51109,193537,143914,49623,193424,143629,49795,193392,144526,48866,192472,142117,50355,243075,179467,61728,284892,199908,75663,274400,198136,76264,263383,189405,73978,0.3961,58,0.2163,29,37
9,9,675690,249112,259361,59905,112750,16146,7567,0,0,732673,242431,299391,65410,133385,49080,9343,0,0,762029,218993,316042,73546,152576,30027,10529,760066,218118,315472,71610,150016,29881,9887,740896,236152,305678,67638,138056,46581,10151,50184,110669,1438,4105,2023,30646,761297,226785,321495,68845,149805,50688,11341,477714,201413,160468,37672,76551,10499,4653,0,0,454970,195778,140856,39505,68089,5586,2407,36220,63959,1439,3693,0,561822,183363,211242,50490,108990,21367,7080,561822,183363,211242,41880,95035,2483,3570,2885,21364,463610,192771,147668,41340,70651,5532,2497,0,0,0,0,0,478725,187371,159206,42234,77893,5722,2672,38803,73155,1367,2672,487091,181484,163838,43645,86120,5932,2987,39522,80607,1593,2987,201847,110836,89932,199952,112631,87321,220655,118734,89925,193348,99622,93726,190414,102143,88271,221658,119462,98338,285425,157655,121663,199851,103744,93784,174043,88360,85683,176011,83653,92358,174268,86305,87963,174583,86131,88452,174304,86614,87690,173990,85265,88725,218960,110320,107124,258084,122864,127413,250818,123009,127809,245260,120196,125064,0.4373,75,0.2395,35,52
10,10,670329,396387,115110,38497,119127,9520,5683,0,0,739644,397885,125828,45424,169389,10641,8919,0,0,760266,362336,138951,48477,202383,18368,7768,760066,362247,138593,48392,201432,18025,7544,744952,385720,124789,50587,183210,11535,9602,36743,150545,1259,3321,2178,40399,754744,369168,129420,52732,200496,14600,8692,505503,316857,76410,25545,83130,6412,3625,0,0,503514,312865,67708,26830,86355,3993,2240,24488,77054,901,3983,0,585695,300385,97536,34008,143652,13368,5305,585695,300385,97536,26637,127027,1385,2134,3310,27281,511683,309379,70401,29266,92039,4099,2080,0,0,0,0,0,522201,301641,73790,32318,104101,4022,2052,29626,93847,994,2052,523817,290133,78083,33377,111676,4432,1683,29105,100927,930,1683,310519,199811,109968,300372,186394,113978,324554,211297,93720,297418,190326,107092,288345,186560,101785,329408,217274,105526,409374,280965,119809,308477,203902,100302,279134,185044,94090,282938,183389,99549,278769,177965,100804,278837,182727,96110,278577,181618,96959,277766,177411,100355,331786,218372,110493,378934,247144,119032,365560,235826,129734,349804,226148,123656,0.3879,55,0.222,30,45
