ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,Reock,Rating,Polsby-Popper,Rating,KIWYSI Score
1,1,664060,494967,34929,102249,24515,12060,2356,735298,533884,48617,115121,31641,13670,3790,0,0,769221,533911,59438,116673,35309,25419,3524,748718,539282,51322,117285,32915,13430,3906,99989,19673,2172,915,33281,772520,547344,55871,120665,35539,15203,3934,516191,397888,23936,69578,17733,9136,1544,560311,427936,28540,77097,16186,8290,520,73249,12296,2000,520,2437,0,605557,436951,40502,81991,25681,19277,2297,605557,436951,40502,73577,17739,3509,932,29598,570537,433683,30283,78257,17325,8229,567,0,0,0,0,588180,445193,32344,80359,18365,8504,526,75171,13279,1153,526,600610,451346,35770,80666,19870,8810,629,74137,13730,1065,629,344448,111182,229159,334831,103282,231549,367242,103970,243249,361080,92294,253080,308987,99484,208367,308918,97788,206068,306053,88897,210938,303419,92958,210155,345089,103225,232937,423264,139203,275564,329172,95826,228090,294352,79048,211477,294877,77465,215027,292426,76089,216337,290082,77165,212917,290297,93443,196854,357064,103555,249043,422612,130047,286312,417867,119442,289680,0.5071,100,0.4579,89,86
2,2,745884,499980,37977,185815,16832,9741,1172,773894,503421,48044,195151,21011,9240,1977,0,0,769221,486775,54315,188670,23108,18717,1746,774575,501334,48134,195446,21128,9717,1725,182743,15884,2721,600,20451,775591,496828,51352,193989,21849,12318,1385,592000,408316,27741,138699,12423,7456,805,602689,413054,28234,143482,9886,6599,349,140510,8003,2460,349,1699,0,619356,405585,39777,143006,17234,14504,1142,619356,405585,39777,134899,12999,2378,344,21391,605138,414121,28226,144157,10163,7117,424,0,0,0,0,606922,413561,29715,143114,11138,7722,487,138681,8620,1813,487,615360,415423,34428,143492,12369,7916,432,138217,9317,1380,432,368323,169389,194181,358336,164716,193620,381032,159976,204914,375090,153573,207786,322333,152067,169468,322301,147023,170950,317963,137145,175657,316319,134654,181421,354039,154816,192332,411700,180593,225707,335665,138858,192873,302960,118781,180799,303497,114448,187030,300922,109224,191698,299966,109121,190845,302169,121192,180973,355819,140723,211665,413134,166349,241011,408218,155514,244998,0.4195,68,0.4659,91,80
3,3,702595,493994,58635,126062,21317,6995,891,739925,501645,73702,136916,25404,7498,1033,0,0,769221,500368,89389,135375,30817,15704,1358,746822,502114,76655,138111,26441,8053,1217,124161,21196,1582,366,18722,770449,509194,85110,140273,29112,10596,1163,564296,410100,42771,91719,17205,5314,640,573603,413903,46095,96273,11886,4651,210,93409,10351,1716,210,943,0,624295,422810,66407,99159,24257,12159,994,624295,422810,66407,90604,20005,1573,227,20149,581403,417334,48450,97246,12566,4945,252,0,0,0,0,599629,425216,54446,97996,14547,6265,183,92841,12604,1031,183,618631,432215,63825,97958,16617,7290,291,91708,13947,716,291,331242,150823,175332,319896,141765,178131,348275,141371,192669,341674,134014,194479,305061,138498,165539,305117,132606,168200,301739,123141,173953,297879,128102,169538,331360,139136,185885,393522,166674,222024,316513,125441,187497,286533,105168,178267,287082,101785,183451,284346,99228,185118,281463,102072,179391,284581,103353,177821,340481,130161,207272,400758,155705,239803,395303,151919,236069,0.6046,100,0.5105,100,95
4,4,672775,394863,40303,215819,21636,7209,1520,727075,403429,56615,240668,26293,7863,1977,0,0,769221,400933,67385,262951,28670,16913,2425,739721,404140,58703,245599,28361,8273,1753,227112,19277,1840,359,25230,774686,414532,66415,257964,29847,8502,2123,502568,311380,26487,147825,15261,5213,984,540373,323138,33652,163202,14133,4547,220,160128,11875,1550,220,1841,0,590934,326940,46192,187108,21169,12759,1609,590934,326940,46192,174930,16114,1730,601,21671,550307,326977,34350,167645,15264,4736,297,0,0,0,0,576970,338349,39327,177560,15728,4475,287,172880,12801,885,287,593462,342275,46454,181602,16544,4985,511,174615,13421,627,511,326928,151189,172999,323180,147668,175512,347759,149004,185561,341780,127468,201709,305204,141112,163141,305593,143899,158794,302553,132750,165345,299834,134627,164912,333211,146202,180785,400821,184068,210863,312511,132328,176342,275703,109780,162711,275849,106623,166835,273595,103440,170155,271716,106745,164971,273843,108221,165287,335849,141069,191109,398747,173074,220114,392948,169191,216346,0.4097,64,0.3298,57,55
5,5,612227,438920,50439,86364,35756,5582,1619,710549,487646,73948,99301,49713,6128,2766,0,0,769221,497450,92795,107690,59075,14862,2346,727139,492441,79956,101320,49555,6156,3188,88413,37620,1071,472,22980,770632,504610,91204,109186,56045,7814,2794,475016,353799,35277,58791,25579,4084,1077,521023,386978,40893,64026,23924,3273,319,61431,20996,1076,319,1858,0,606741,409497,65881,77684,42703,11078,1659,606741,409497,65881,67227,35689,1279,549,23207,534015,392427,44807,66698,24692,3243,388,0,0,0,0,568553,407907,52255,72966,29198,3854,428,68814,24660,536,428,602580,425128,61080,76095,34180,3959,403,70564,28445,357,403,309796,117460,189696,315103,113304,201799,358884,131386,209914,352582,106250,233348,322023,128836,192307,322405,131107,188109,317815,117148,195496,313856,118990,194585,349884,131968,210584,427864,176973,244305,341202,126216,210276,314429,109906,201032,314879,106714,206161,311414,103092,208322,309390,104859,204531,3027,181,2324,372931,138209,230615,439074,169106,262791,431488,163285,260986,0.5784,100,0.5405,100,91
6,6,681511,522395,58017,86940,11460,6732,859,735634,542639,77391,96828,14791,6049,849,0,0,769221,548571,88354,99968,16943,16642,1396,753730,549770,81020,102141,15457,6262,1068,90547,11481,1832,532,15837,778536,559792,91943,101238,17724,7688,1315,549968,439660,38336,60488,8566,5149,595,582949,458894,45005,65874,8174,4447,124,63805,6963,1843,124,619,0,634516,474364,62028,71174,13068,13076,1020,634516,474364,62028,63212,9980,1771,283,20274,595650,466284,47402,68371,8336,4756,358,0,0,0,0,618146,479110,55370,68436,9251,4823,559,64900,7396,980,559,646313,493359,64216,71437,10531,5390,481,66303,8284,806,481,334836,155211,175559,326991,142472,184519,365067,133086,218572,357611,128011,212386,322401,127218,194261,322163,124704,192513,319243,113708,199586,314716,119911,194563,350988,130987,213132,427616,161022,262093,347669,121434,222799,326196,107731,215261,326647,102206,222328,322966,97087,225879,320199,102855,217260,298385,21,224682,379303,128876,247308,442572,152600,285318,434279,152367,273455,0.7224,100,0.4902,98,95
7,7,691216,489082,108704,71276,24402,6256,1125,754048,491963,147015,85821,33644,6893,1277,0,0,769221,472857,159630,90635,39599,16007,1707,763761,492534,153076,86747,34220,6931,1208,70022,26924,1585,179,17070,771747,483478,161997,90446,36238,7601,1423,540950,398803,76258,48768,17408,4582,775,573552,402073,98108,51455,16924,3408,263,49611,14748,1542,263,1473,0,616306,398072,116922,64914,29100,12048,1210,616306,398072,116922,51915,23937,1177,315,20946,584081,405532,103495,52868,17389,3380,215,0,0,0,0,588883,401951,108663,54666,18236,3664,161,51353,15942,798,161,602620,401094,116901,58950,20302,3726,207,54582,17821,745,207,341520,167755,170397,332581,156535,176046,374512,163729,192372,365312,149943,198540,326554,156112,169479,326331,153393,168223,321818,139002,176425,316833,144314,172040,357166,160612,188548,433846,202046,226041,342179,148061,189585,308384,128054,177012,308648,121865,184677,304389,115990,188399,301332,121035,180200,304356,126079,177965,367135,155931,207459,428617,184389,237638,423223,183028,231419,0.4525,81,0.406,77,71
8,8,683941,530437,59643,74549,17898,6595,1472,742232,553508,79972,83668,23082,6916,1243,0,0,769221,550406,89241,87279,26948,16487,1912,753057,557483,83085,85569,23855,6942,1353,68382,16223,1372,679,22336,773786,559716,90930,91003,26350,9044,2100,549765,443167,40952,50298,13139,4833,981,584940,465379,48892,52626,12155,4068,458,49901,9280,1431,458,1428,0,633719,474699,63693,61355,20137,12774,1350,633719,474699,63693,52258,14985,1557,439,23168,595912,471807,51698,53808,12854,4168,454,0,0,0,0,616521,479968,58934,56577,14215,4761,365,51855,11125,1179,365,639185,490623,66235,59588,15958,4555,401,53577,12373,934,401,360273,157711,198492,353983,150649,203334,399442,149043,231383,392260,141553,230521,357817,150586,205887,357324,143655,207947,353501,131150,215441,349040,137750,210938,385545,150157,226545,460866,186757,267849,374730,140984,228992,345601,124812,216986,345962,120086,223722,341728,112860,228868,338204,118629,219575,342208,120080,222128,401922,149686,248197,463982,177212,280407,457318,176056,271322,0.3453,38,0.4657,91,72
9,9,550859,223477,238365,71680,28578,5849,2122,683315,226280,345754,91681,33217,6450,2106,0,0,769221,231009,398290,106793,40772,14646,2513,706677,227490,364600,97466,33515,6803,1883,66637,26153,1227,576,15271,753854,226793,401037,105139,36893,8421,2230,412933,181860,167289,48648,21460,4148,1408,460116,178490,213636,45166,18596,2230,585,43241,17164,928,585,1522,0,593636,191983,297032,77314,30863,11244,1854,593636,191983,297032,54135,25459,879,536,18259,477736,179332,228797,47036,18367,2207,594,0,0,0,0,507408,183463,248870,51475,18927,2371,594,48585,17218,582,594,540739,191099,262393,59375,23177,2393,558,56120,20646,288,558,207220,122536,82921,212864,132526,80338,280154,171065,97224,274742,150705,112498,232611,138732,93191,232362,141629,87456,229610,132578,92548,227552,136689,90558,264531,155462,103547,341443,198369,138987,243760,135093,105466,204480,104453,97380,204581,99615,103056,202339,98426,103913,200653,100571,100082,202372,108543,93829,268595,139271,126359,333373,170044,158369,328153,164553,156289,0.491,96,0.4791,95,81
10,10,664066,291551,159192,186117,34262,6224,2345,758119,287527,218674,216419,42911,5598,1673,0,0,769221,272949,229989,217311,46845,13625,2304,763720,286168,216985,224299,45004,6066,1791,196752,34933,802,578,20572,785356,284130,229518,231455,47262,8699,2090,514281,245902,116010,129323,26395,4553,1721,526631,237670,135260,126202,23077,2854,318,122480,21081,899,318,1992,0,610303,235180,174711,158531,37190,10652,1743,610303,235180,174711,137818,30572,966,445,24215,532147,236921,134543,132111,23721,3055,404,0,0,0,0,554323,240441,144649,137970,26086,3230,485,132388,23455,686,485,551099,232500,147609,136242,29435,3531,400,131128,26014,625,400,271125,170937,97964,263783,167163,96620,301864,191868,94641,295408,172309,110761,255597,169528,85345,255639,170494,82097,251655,157638,89174,248479,160520,87613,282066,180068,95630,336334,219026,112458,249391,155730,89881,202965,122361,78186,202920,117587,83483,199880,114073,85807,198258,116037,82221,199910,117955,78844,256688,155643,97951,302699,182937,114482,298413,177545,113545,0.375,50,0.3649,66,62
