ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_AUD_Total,E_22_AUD_Dem,E_22_AUD_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_22_SC1_Total,E_22_SC1_Dem,E_22_SC1_Rep,E_22_SC2_Total,E_22_SC2_Dem,E_22_SC2_Rep,E_22_SCC_Total,E_22_SCC_Dem,E_22_SCC_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep,E_24_SC1_Total,E_24_SC1_Dem,E_24_SC1_Rep,E_24_SC2_Total,E_24_SC2_Dem,E_24_SC2_Rep,E_24_SC3_Total,E_24_SC3_Dem,E_24_SC3_Rep,Reock,Rating,Polsby-Popper,Rating,KIWYSI Score
1,1,739611,528626,18167,165082,24965,5140,915,0,0,764552,534803,25017,168295,35019,4986,773,0,0,786630,530476,31733,167166,42775,13366,1352,769717,536790,26943,165973,36562,4615,930,150255,30176,464,389,3380,21321,786341,544299,30345,166370,39942,6385,725,558967,412335,11590,115410,17434,3647,569,0,0,563581,421122,10405,114252,14239,2722,288,109627,12571,385,1155,0,607689,426780,20146,119428,30316,9794,882,607689,426780,20146,111456,26244,767,361,2069,19866,570121,425790,12043,113399,14739,2711,379,0,0,0,0,0,582129,434725,14418,113101,15832,3392,213,107133,13556,288,213,587217,434729,16715,109487,17858,7672,375,101496,15071,608,375,381262,193534,183448,375095,187494,187601,379013,188237,173374,373922,145108,213705,317399,176763,140636,318762,160130,149985,314394,164348,150046,352066,175761,168719,411740,220132,185306,332193,170425,158439,296107,160402,135705,296817,134050,162767,296214,143022,153192,292569,142184,150385,295022,140818,150742,292851,141902,150949,296562,156460,140102,293991,148205,145786,294599,150102,144497,295033,150840,144193,349436,180476,165721,400250,210872,185460,398685,213904,171932,391562,213743,177819,392061,196386,195675,390937,200728,190209,387683,203073,184610,0.2871,15,0.2435,36,27
2,2,793125,751738,8103,21301,5381,7279,418,0,0,788551,740686,10679,24446,6627,7235,513,0,0,786629,720074,11754,24510,7408,18636,714,788707,738081,11343,25063,6930,7287,649,15252,4941,1065,273,1085,16664,786645,731120,12120,25845,7700,7674,571,600711,572727,4811,14556,3452,5514,258,0,0,605183,575570,5591,15868,2729,4977,98,13081,2001,999,604,0,609599,563480,7306,16482,4989,13866,414,609599,563480,7306,12920,3586,1507,104,1247,19449,606573,575968,6145,15953,2722,5235,163,0,0,0,0,0,606786,574328,6743,16255,3359,5674,106,12862,2260,698,106,607459,572568,7135,16564,4087,6075,180,12698,2946,546,180,351412,135675,207906,333894,131438,202456,346509,91114,241519,341695,84557,242203,269632,100602,169030,271445,83297,179975,267399,83521,183878,311239,90115,214681,378196,100789,272334,293133,81244,209754,258071,76475,181596,256957,58636,198321,258958,62472,196486,256422,65110,191312,258355,62776,192927,256621,64809,191812,257872,65754,192118,257216,68032,189184,256627,69081,187546,257943,69330,188613,316336,84137,229801,378802,97852,278096,373880,107603,252061,364644,96410,268234,362760,97700,265060,358625,96489,262136,360684,98238,262446,0.3834,53,0.3022,51,54
3,3,690348,427301,30443,201892,29697,6739,1006,0,0,770933,442449,41291,238263,47249,9399,1482,0,0,786630,433335,49377,241098,53032,14451,1234,780090,441239,43624,242490,50232,8539,1806,218311,40136,1152,372,2785,32464,785457,434586,44889,249756,51858,9627,1721,537450,355122,19938,137743,22848,4753,634,0,0,555489,364591,16406,149542,18761,5217,197,140986,15833,1228,2670,0,615714,366086,32826,167620,40244,10657,899,615714,366086,32826,154333,35026,957,215,3085,23186,563929,365683,17377,153689,20723,4596,205,0,0,0,0,0,566870,364122,17752,156802,22799,4328,95,146864,18686,396,95,566459,355288,21265,157476,27052,4100,247,146648,22556,341,247,347638,224520,118677,350131,231445,118686,357640,239177,101909,351819,200153,137466,303095,223000,80095,304764,208906,89153,300861,203064,97797,332761,224326,101721,381894,271664,104532,303077,208669,91457,260033,186641,73392,260362,163058,97304,259989,168484,91505,257093,170663,86430,259243,166559,90129,256450,170243,86207,258859,182387,76472,258054,176502,81552,258019,178047,79972,258681,179176,79505,311552,215135,94211,358346,249431,105242,353651,251373,93313,343120,242721,100399,316169,223944,92225,312364,219115,93249,336935,235330,101605,0.5928,100,0.4919,98,93
4,4,751398,677930,12369,43606,13388,5247,651,0,0,765653,676148,16538,47771,21059,6198,544,0,0,786630,669370,19763,50151,28605,15207,946,769671,674738,17055,48005,23202,6383,946,34631,19007,961,210,1599,21458,788220,682061,19330,50808,26034,8173,1006,563221,514411,7383,29537,8739,3636,372,0,0,574471,521549,9438,31055,8278,3936,143,27486,7105,977,815,0,600351,521413,12273,33875,19006,10820,583,600351,521413,12273,29060,16923,1008,192,1580,17902,577638,522836,9571,31540,8786,4239,187,0,0,0,0,0,593007,532419,11302,33075,10634,5082,272,27324,8861,589,272,598947,533608,12516,33013,12675,6288,246,26404,10468,696,246,363610,139876,215847,350943,131210,219733,357430,103475,237194,353484,84605,252021,293292,116476,176816,294732,95468,190213,291471,93916,197555,330359,102638,220291,400745,125725,268715,317941,98660,216846,289297,96624,192673,287618,73391,214227,290391,77535,212856,287728,79401,208327,289808,77596,209329,287625,82030,205595,290088,89359,200729,288387,85412,202975,287516,87663,199853,289347,87663,201684,345072,106591,236143,406953,126892,276504,403387,137240,252067,399148,125887,273261,389739,125989,263750,389676,122031,267645,388691,123652,265039,0.2968,19,0.2946,49,50
5,5,778821,683753,44702,40523,8333,6093,560,0,0,781008,671572,54194,45483,10574,6651,875,0,0,786630,659838,57243,44251,10945,15312,1409,781531,668793,55555,45619,10967,6607,1111,30222,7258,1220,515,882,17089,785552,664956,58266,45457,11162,8040,1044,591813,531423,26957,25285,5733,4238,354,0,0,596666,530004,32148,26456,4238,3585,122,23494,3176,1005,524,0,612230,526766,36852,28818,7626,11163,889,612230,526766,36852,22506,5681,974,438,1350,17663,598064,529101,33397,26999,4482,3757,162,0,0,0,0,0,603550,530722,35788,27782,4977,4252,187,21842,3489,667,187,605509,529962,37538,28136,5051,3990,174,21590,3614,571,174,383252,182215,192477,361251,167353,193898,364284,127150,218029,357841,107724,230734,286928,136346,150582,288929,111392,167966,281135,112888,168247,327472,122121,197199,396653,142101,248386,312838,113318,196878,280758,108393,172365,279595,80581,199014,281409,87514,193895,278249,89467,188782,280701,86569,191097,278062,90056,188006,279789,92635,187154,278946,95262,183684,278894,97593,181301,280156,97680,182476,336214,118184,215660,395871,138185,254061,390660,149181,226914,378458,122987,255460,373352,137195,236157,370532,131827,238705,372536,135245,237291,0.2045,0,0.191,23,22
6,6,820578,731773,17811,62538,5421,5981,636,0,0,794054,699533,22758,63493,7053,5986,761,0,0,786630,673037,25479,62754,6799,16473,731,789374,692795,23095,63268,7157,5838,714,49057,4523,1106,54,917,17845,784554,683731,24272,63236,7140,6785,916,643950,583085,11744,42629,3755,4263,434,0,0,627991,564595,13449,42090,3253,3892,18,38538,2328,1349,974,0,628719,549311,16196,43669,4670,12079,486,628719,549311,16196,37913,3213,1080,156,1273,19577,625177,561669,13959,41402,3401,3909,45,0,0,0,0,0,621522,557498,14938,40587,3257,4139,116,35242,2398,559,116,615809,550633,15630,40566,3591,4019,115,34388,2304,452,115,404773,212824,181863,379800,196267,183533,376032,134076,226601,368109,127404,220280,294408,143786,150622,295044,121668,164316,290216,122891,167325,335734,131104,196998,399020,139482,254092,316403,113862,200431,281156,105776,175380,279333,77051,202282,280252,85148,195104,276525,90645,185880,279817,86381,190480,277343,91350,185993,280260,90448,189812,277792,94763,183029,278112,95252,182860,279515,98120,181395,331562,111987,217424,381642,125068,253587,376865,137891,224931,368234,122431,245803,361595,131162,230433,363642,126586,237056,361834,128789,233045,0.3282,31,0.2195,30,40
7,7,766644,703059,17561,22525,20800,3787,509,0,0,765804,682685,22948,32185,25749,4609,762,0,0,786630,679580,28953,32708,29624,11929,750,764855,673955,25838,33307,27866,4554,725,24083,21448,946,149,2130,16312,783089,678633,30353,37361,30494,5437,823,589648,547600,10862,14637,14368,2599,310,0,0,586908,537598,13622,20388,12424,2420,133,18005,10693,619,583,0,623729,549219,19013,22359,21081,8732,514,623729,549219,19013,17931,18288,677,109,1609,16883,587877,534909,15465,20777,13790,2476,120,0,0,0,0,0,602620,543080,18113,22471,15477,2775,98,19121,12934,467,98,602266,538864,20214,23159,16027,2863,160,19241,12908,440,160,404096,197756,200216,390547,188518,202029,387125,163047,207461,376615,127493,229482,319172,166989,152183,320868,145946,166127,313776,151425,162351,357455,157812,191588,429985,192581,232256,343020,151732,188376,309363,149186,160177,309110,115714,193396,308493,123517,184976,302461,124405,178056,306758,121461,182230,302269,125289,176980,303636,135568,168068,303205,133057,170148,303788,136559,167229,305383,137510,167873,364013,160509,200823,418302,185149,229664,413345,196986,204388,400449,144655,204556,385744,177848,207896,393883,179880,214003,383232,175756,207476,0.3384,35,0.2264,32,33
8,8,755239,621637,22955,91571,15814,5025,934,0,0,768529,606893,27794,106953,22973,6846,941,0,0,786629,585818,38989,115521,29161,16520,1382,770897,599578,28008,113219,25068,6079,1315,94667,19546,860,233,1971,26035,782907,595127,30232,121591,27455,7027,1703,567732,480653,13881,59663,11016,3587,542,0,0,568792,476526,9130,68798,9521,3820,191,64812,8298,862,1398,0,603741,467544,23849,78013,21079,12012,904,603741,467544,23849,71141,18243,1012,497,1968,19487,569755,473561,9952,71318,10083,3779,71,0,0,0,0,0,578960,475213,10269,76689,11927,3953,153,70694,10152,364,153,579226,464465,14462,78191,14791,6551,207,70296,12156,600,207,381508,148959,226901,367915,142500,225415,373812,130603,227466,367759,102729,250163,298280,127874,170406,299048,110695,179457,293734,114179,179555,338287,122999,208098,400857,153370,241657,317546,116043,198658,278773,108056,170717,279657,85491,194166,279906,91835,188071,277429,93070,184359,279420,91328,185224,277521,93377,184144,278848,98586,180262,278261,97288,180973,278586,98204,180382,279125,98743,180382,335824,123605,209197,391280,147576,240234,387822,153901,220174,378501,140801,237700,382034,138401,243633,380210,141685,238525,376661,142938,233723,0.3662,46,0.3053,51,51
9,9,796993,629787,47336,106314,12011,6868,567,0,0,780861,601926,53619,110751,14011,7510,837,0,0,786630,585834,56848,114892,14622,16411,696,779852,596577,55328,111688,14317,7556,940,90730,10173,1753,210,2396,22685,784708,593636,58040,113877,14692,8590,861,607190,498290,27934,69885,8451,4852,372,0,0,594961,481726,31465,71625,5577,3950,193,67165,4602,1473,800,0,613653,476818,36058,77478,10574,12032,461,613653,476818,36058,68985,8226,1107,141,1891,20427,595716,480815,32522,71852,6009,3764,196,0,0,0,0,0,602608,482457,34890,73025,7342,3920,212,67674,5789,757,212,600184,477404,36186,73739,7663,3986,207,66965,5780,389,207,405487,235745,162412,382057,223943,158114,372338,174123,177612,364973,147899,198723,289376,169205,120171,291519,146169,134844,286955,148392,138563,331280,161598,161111,390205,186081,197468,307642,145783,158722,267194,134149,133045,268735,99420,169315,267756,112425,155331,264398,114872,149526,267013,110790,153151,264332,115601,148731,266145,150646,115499,265053,120050,145003,265614,121247,144367,266691,122589,144102,323156,148151,172078,378390,174724,200125,374268,180143,177483,375376,181132,178874,362348,173110,189238,362503,169787,192716,361900,172478,189422,0.2034,0,0.2441,36,38
10,10,780133,592888,17677,146728,19052,7128,900,0,0,779147,578485,23424,149393,23144,7956,1353,0,0,786630,556510,29651,156098,26426,17940,1437,780677,575181,24249,150710,24173,7661,1719,130633,17248,1045,247,2568,29506,784851,571465,26808,153178,25593,8735,1787,601831,472056,11163,101818,13463,5114,544,0,0,592564,463334,10970,102388,9881,4803,184,96455,8065,1068,1767,0,616057,452896,19283,110485,19231,13358,956,616057,452896,19283,100859,15141,1217,294,2451,23916,594518,463040,11847,103397,10403,4763,106,0,0,0,0,0,597940,462394,13593,104256,11174,4848,159,96651,8793,497,159,597248,456729,16598,104885,12413,4641,182,95485,9192,242,182,400726,200352,194216,379888,189822,190066,373039,166482,189189,368787,132949,219746,300003,160178,139825,301157,136347,155570,297194,139759,157435,337758,153360,176690,391734,185655,199444,313742,143689,167218,274722,131752,142970,275553,104683,170870,274954,113418,161536,272164,115192,156972,274200,113240,157867,272080,116764,155316,272964,104638,168326,273191,120494,152697,273533,120927,152606,274260,123344,150916,327291,149217,175259,378167,176359,198060,375126,182619,178973,370748,145425,213692,363164,171162,192002,356900,165551,191349,360751,170010,190741,0.4315,73,0.4114,78,78
