ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,T_23_ACS_Total,T_23_ACS_White,T_23_ACS_Hispanic,T_23_ACS_Black,T_23_ACS_Asian,T_23_ACS_Native,T_23_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_23_CVAP_Total,V_23_CVAP_White,V_23_CVAP_Hispanic,V_23_CVAP_Black,V_23_CVAP_Asian,V_23_CVAP_Native,V_23_CVAP_Pacific,V_23_CVAP_BlackAlone,V_23_CVAP_AsianAlone,V_23_CVAP_NativeAlone,V_23_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_14_SEN_Total,E_14_SEN_Dem,E_14_SEN_Rep,E_14_GOV_Total,E_14_GOV_Dem,E_14_GOV_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SCC_Total,E_16_SCC_Dem,E_16_SCC_Rep,E_18_CMPTR_Total,E_18_CMPTR_Dem,E_18_CMPTR_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_18_SCC_Total,E_18_SCC_Dem,E_18_SCC_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_SCC_Total,E_20_SCC_Dem,E_20_SCC_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_LTG_Total,E_22_LTG_Dem,E_22_LTG_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep,Reock,Rating,Polsby-Popper,Rating,KIWYSI Score
1,1,747226,485819,104982,144153,7770,9097,736,0,0,769184,480690,124355,149805,10120,8305,907,0,0,766987,460088,130082,147139,12068,22129,1147,771738,478132,126706,150509,10678,9355,803,138566,7921,2087,480,16627,769428,468746,131579,148776,12370,12758,1259,774111,468051,134355,148125,11991,15479,1552,560124,385317,62630,102667,5288,6538,478,0,0,546499,382767,45886,107414,4750,5290,421,105713,4181,1890,421,459,0,585265,371950,82669,107096,8526,16548,787,585265,371950,82669,101584,6787,2485,232,18085,549216,382116,48167,107930,4967,5717,410,0,0,0,0,551222,376998,55346,105986,5684,6776,417,103044,4618,1134,417,553620,377145,57069,104955,5529,8231,376,101323,4427,1246,376,558424,377743,59808,104592,5648,10085,365,100229,4417,1240,365,280813,84875,193139,274244,76254,197990,156997,34853,122144,161623,38222,123401,285120,70217,206443,829271,203902,600309,243993,60420,178227,247142,66479,179228,246902,59885,184404,245542,65913,175537,245870,69628,172222,695926,125260,540937,277570,71239,202284,326088,86352,235937,323137,82948,234397,957808,249983,707825,274915,68291,202544,236533,51406,182643,234864,52067,178299,235332,51874,179095,234009,49695,181036,234651,51434,183217,296871,73010,220113,327762,78554,246341,325149,80648,238686,0,0,0,0.3428,37,0.1663,17,31
2,2,579025,370348,128173,55975,22533,6614,1528,0,0,705504,397136,190433,83128,34239,7460,1275,0,0,766987,378509,232511,100382,43253,22317,2432,727150,399783,206104,85618,35195,8233,1609,73619,27036,1373,633,17088,763314,390201,233488,99692,38728,11402,1933,785098,383341,247924,110398,42691,14225,2082,413145,280190,79035,36106,15341,4554,910,0,0,463202,301388,88584,52661,15778,3492,376,51138,14205,1128,376,923,0,557917,296409,151304,68462,30513,15876,1645,557917,296409,151304,61325,26205,1454,776,18108,470754,300728,94381,54140,16074,3676,557,0,0,0,0,487509,295978,105545,63098,17871,3818,663,60289,15782,534,663,498837,292334,112942,67631,20364,4025,612,64048,17814,559,612,517674,293555,120338,75714,22163,4571,609,71470,19131,678,609,206515,60781,144995,214800,58553,156247,124207,28439,95768,128604,34011,94593,250892,79470,158846,737524,211238,496378,228626,74858,147542,230733,86085,142956,230673,74242,153240,229804,83404,141542,230273,81870,144263,642840,157345,449010,263056,92828,164735,321071,121726,194821,317789,112794,197294,934128,336383,597745,263766,94602,163451,232842,84860,144703,231508,83129,142103,232113,83663,142645,230367,77776,147534,230287,78496,151791,294306,109575,179391,332296,124591,203572,331407,130232,193615,326883,112252,214631,0.3927,57,0.2315,33,38
3,3,573381,387855,79022,49660,53247,7703,1055,0,0,698165,435450,101436,71108,86797,7378,1559,0,0,766987,429281,124107,84898,111888,21934,1848,722116,440719,106161,78165,93131,7755,1397,67189,82631,2548,242,20929,780322,451248,120367,92474,108149,11631,1911,809266,452918,129756,98764,117730,12698,1702,401648,284287,47756,31496,34814,4980,647,0,0,457911,324361,44887,44417,39369,3877,174,42761,37368,1994,174,991,0,559329,332029,80057,56991,76459,15296,1182,559329,332029,80057,50937,70931,2424,451,20436,477774,331248,50029,49241,42010,4310,184,0,0,0,0,521541,347022,61619,56945,49338,5044,368,54022,45948,1531,368,539079,349671,67958,60017,54898,5009,435,56802,51239,1295,435,565747,357799,74887,64792,61327,5492,456,61310,57312,1152,456,217611,73660,142629,221478,67599,153879,126847,32544,94303,130513,38794,91719,271386,92142,162737,779219,234060,509666,254880,91768,155390,262387,109423,150783,260838,91324,164946,258937,103848,148308,259296,101669,152025,719857,191585,475666,294773,114029,173611,363437,152279,204527,355662,136318,211028,1033063,400285,632778,299390,117552,174458,275733,108840,163075,271633,106783,155160,273169,108606,157798,270393,97568,167275,271256,100121,164240,342336,136990,197830,397086,153496,232845,392500,163857,220110,380747,142953,237794,0.4381,75,0.3341,59,68
4,4,611947,432257,74871,55676,42654,10454,846,0,0,723991,468574,98127,70685,78508,12347,1296,0,0,766987,456408,109555,80358,98443,26046,1523,739971,470510,103030,70868,87076,13928,1212,58980,77746,3876,430,23661,774026,472494,113398,78370,99155,14800,1483,796201,478098,119371,82697,104605,16227,1670,454509,334301,46695,38157,29882,7189,541,0,0,486993,361904,43095,45855,27635,7615,332,43218,25779,2796,332,1035,0,577526,363615,71788,56043,68304,18424,1013,577526,363615,71788,50232,63720,3708,279,22253,500210,367312,47821,45587,30869,7825,306,0,0,0,0,523446,371280,53818,51584,37972,7521,354,48282,35658,1954,354,539055,377694,57052,54580,40035,7719,387,51155,37742,1810,387,554739,383591,60726,57203,43659,7503,478,53033,41025,1533,478,230569,76743,151932,226449,66574,159875,128142,31683,96459,131805,37637,94168,265077,80813,171752,766781,214172,521150,245053,78094,160041,250208,91443,156878,249285,77022,168387,247814,88238,154017,248103,87690,155497,697458,163430,488679,281662,95762,180322,345022,125278,214657,339894,114416,218253,996479,339062,657417,284926,97009,182302,259203,85897,170243,256738,85393,163758,257694,86672,165324,255947,78380,172928,256059,79186,170821,321802,110250,205983,365772,120188,239000,362608,127630,228055,353299,111696,241603,0.2172,0,0.0762,0,6
5,5,671452,396759,155441,87970,27835,9991,946,0,0,725947,375106,203420,108800,35881,10271,1385,0,0,766987,367502,226402,118843,40568,25137,1258,738317,371661,213158,112218,37952,11049,1364,99038,32466,2761,240,17543,772029,371167,232015,124178,39163,14732,1468,786473,369744,237868,131820,41229,17550,1701,488707,313797,93835,57474,19790,6851,586,0,0,476755,303237,78736,69713,19056,5614,179,67248,18280,2478,179,742,0,573597,300372,148251,81400,30519,18654,856,573597,300372,148251,75407,27843,2488,279,17303,485558,301663,85085,71650,20810,5549,208,0,0,0,0,509809,302900,98018,80385,21728,6186,212,76045,20151,1644,212,516684,302048,99056,85007,23422,6388,219,80325,21617,1145,219,532531,302717,107841,89003,25818,6304,232,83550,23889,935,232,229328,83130,144574,216564,73911,142653,124934,35316,89618,128967,41093,87874,242004,81981,151952,710734,228075,452335,218676,77934,134101,221563,87353,132617,221498,76630,141524,220339,84994,130594,220554,84460,131955,614761,162433,411578,248967,91604,152901,298295,113847,180739,296408,107707,181535,878663,328971,549692,246582,90065,152157,214912,76012,136057,213005,74987,131555,213723,75885,132441,212451,70462,137011,212089,71906,135578,273350,100583,168155,309964,111027,194765,306483,117464,182530,299897,107712,192185,0.299,20,0.1494,12,24
6,6,670405,359600,199411,87404,21330,9258,1471,0,0,731871,351717,244178,105498,28362,11846,2125,0,0,766987,344553,259476,117497,32487,24714,2291,739596,348565,249199,110797,28325,11951,2215,97787,24173,1645,1473,15757,762980,346508,259445,118544,32027,16807,2445,773280,346503,264819,122553,32264,18434,2265,484252,282814,122620,60064,15498,6354,894,0,0,461766,277882,95676,68970,13650,4140,659,66962,12312,1656,659,950,0,572594,279352,173016,83603,24448,18081,1468,572594,279352,173016,77459,21864,2135,878,16076,467678,277829,99536,71910,13467,4547,488,0,0,0,0,487455,280003,109586,76766,15202,5582,567,73536,13565,1008,567,493723,280403,113190,78768,15467,5945,424,74775,14004,973,424,505165,280322,118962,82365,15970,7614,364,78426,14406,1320,364,207941,72180,133946,199147,65329,133818,115193,31159,84034,118591,35913,82678,225569,73210,143626,658996,205887,424583,204279,68951,128508,207736,78546,127635,207312,68261,135867,205949,76450,124779,206298,76021,126064,576465,144741,393961,233544,83092,145985,282193,105413,172918,279747,99223,173640,824954,300535,524419,233305,82684,146157,205748,70499,132742,203708,69225,128222,204263,70435,128706,202754,64903,133143,1044,226,818,260653,93464,162664,296969,104283,188788,294244,109968,177801,286769,98443,188326,0.2598,4,0.152,13,22
7,7,647761,209783,207362,120346,114350,8051,1209,0,0,754668,228392,225345,145981,157478,6013,1172,0,0,766987,210438,230614,160142,164911,15986,1592,771671,224805,233399,153248,164043,6658,1309,141043,149538,1400,165,18524,781152,214888,242548,167687,159783,10968,1521,791417,215182,244039,171982,162712,12950,1471,491416,177409,143696,84441,87317,5849,896,0,0,431629,177967,85147,86438,78745,2542,124,84972,75782,1162,124,829,0,594919,179683,168560,116791,127236,11783,1066,594919,179683,168560,107261,120710,824,265,14185,447358,174722,94638,91235,83392,2663,101,0,0,0,0,458036,169576,100696,99413,84244,3180,66,96290,81128,835,66,468551,171650,99250,104617,88733,2852,123,101398,85374,768,123,471927,168728,101354,106830,90294,2679,415,102974,87017,538,415,184078,102690,80774,197460,106206,91254,99693,48673,51020,103502,56417,47085,215753,134817,70334,629503,353332,249610,203654,121005,76688,206458,138324,66658,205503,121934,79856,204870,134055,66661,205240,131982,69424,538727,253234,234492,230715,145567,80335,279639,179451,96316,273494,165088,102160,799137,491627,307510,223075,141314,77054,183387,116091,64461,181609,114048,62694,182125,114823,62683,180577,107508,69170,181829,115994,65835,236729,146371,85126,253160,148939,96446,250193,154779,88304,244471,149820,94651,0.2222,0,0.0914,0,2
8,8,560712,300614,164161,68412,26690,8143,1133,0,0,698185,344613,219170,92037,41585,10168,1954,0,0,766987,345586,249527,109718,51665,23942,1625,730106,351761,225913,105824,45940,10799,1789,91366,38428,2251,438,17704,771823,358148,245196,117088,51120,13925,1954,801253,365275,256800,119773,55691,16675,2101,398369,232355,101411,44317,18514,5331,683,0,0,440854,266004,91415,57223,21242,4241,421,55517,19983,1750,421,747,0,565897,276028,167949,74409,37361,17324,1019,565897,276028,167949,67097,33930,2164,317,16150,466220,273913,101269,63023,22768,4144,329,0,0,0,0,498610,282852,116073,68293,25532,4847,448,64369,24086,1059,448,518854,290537,122309,69997,29466,5267,491,65844,27920,1099,491,549539,301688,132439,74429,34378,6031,393,69294,32511,1151,393,173775,56078,116693,170442,48481,121961,105160,24926,80234,108896,29365,79531,227586,72919,145669,666759,201819,439914,210832,69882,135634,212250,77502,133270,212551,69022,140769,211734,75846,131725,212102,75080,133358,589907,145978,412852,246771,85085,157095,312460,111748,196684,307867,104679,195621,908293,315693,592600,251684,85169,161776,227188,73103,151294,225925,71839,148817,226434,72757,148826,225095,67253,153409,224968,68715,153127,294936,99254,190616,349138,113192,231430,347345,120020,219337,342177,108754,233423,0.2904,16,0.2292,32,31
9,9,677135,101966,248595,267907,64279,7149,1089,0,0,776616,109887,299545,294061,78812,4830,1036,0,0,766987,95246,301525,293568,81086,17656,1278,766697,107654,291668,298115,76675,6696,719,282877,67627,805,128,13820,757709,102792,292398,290455,77896,11491,837,761014,101464,294542,291494,80401,14819,1576,482915,84301,160659,190841,49534,4795,735,0,0,437272,84484,106498,205780,38478,1529,245,203924,37582,639,245,739,0,565956,78651,206142,218536,63617,12541,895,565956,78651,206142,207379,60250,733,192,9858,438722,83124,108612,207106,37148,1881,107,0,0,0,0,441060,79714,113944,204004,40363,2341,185,200217,39190,826,185,445324,79605,114609,204789,42941,2774,150,200645,41507,806,150,455844,79807,118142,209724,44752,2996,217,205105,43105,518,217,197995,148655,48592,196249,148569,47680,106355,77046,29309,109987,82610,27377,208499,160330,41371,615284,457188,138741,190073,142830,42192,191228,151352,38808,191110,139778,48720,190748,148727,38802,190947,146995,41173,483674,294156,134935,214582,163300,47615,256721,195474,58370,251230,184515,60257,741390,562866,178524,205594,156417,45475,164980,124591,37977,163330,122220,37213,163773,121871,37165,162540,118787,39562,163603,125443,38160,217919,161297,52687,237488,169152,64547,234925,172197,57179,0,0,0,0.428,71,0.1617,15,34
10,10,623484,392080,133520,71069,25355,6975,884,0,0,709171,417987,168463,83772,38663,9160,1700,0,0,766987,429742,191251,83934,49513,19569,1480,719015,419471,172428,84305,40568,8777,1704,74813,33534,1037,388,15670,766037,433546,191110,88475,46658,12625,1230,782727,436643,196909,91711,50182,15218,1650,474683,316307,86529,50670,18796,5044,607,0,0,495974,336540,80564,57260,16593,3671,343,55487,14586,901,343,1308,0,591007,351567,129974,61608,36361,14435,1000,591007,351567,129974,55446,32124,1510,311,17713,507745,340673,85845,58535,17338,3850,384,0,0,0,0,544161,357199,98272,61678,20697,5153,446,59394,18309,809,446,554216,360127,101302,62854,22361,5887,475,60166,19587,803,475,565773,362830,107462,63667,24329,5877,472,59999,21481,819,472,227643,84162,141478,224284,73262,151022,135706,36999,98707,141058,44380,96678,263492,89425,158809,761880,236357,484672,250970,87474,154716,255454,103802,149284,254606,88088,161425,252766,98917,146459,253462,98914,147797,708290,185901,469731,282276,106190,169034,340242,135000,198883,336056,124867,203105,980142,368195,611947,283361,106975,169475,257500,95388,158127,254068,94456,151287,255552,94920,153643,253800,86622,161420,252146,86500,159580,317391,120071,191000,357949,131832,220455,355652,135806,211402,347813,118278,221226,0.3421,37,0.1871,22,29
