ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,T_23_ACS_Total,T_23_ACS_White,T_23_ACS_Hispanic,T_23_ACS_Black,T_23_ACS_Asian,T_23_ACS_Native,T_23_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_23_CVAP_Total,V_23_CVAP_White,V_23_CVAP_Hispanic,V_23_CVAP_Black,V_23_CVAP_Asian,V_23_CVAP_Native,V_23_CVAP_Pacific,V_23_CVAP_BlackAlone,V_23_CVAP_AsianAlone,V_23_CVAP_NativeAlone,V_23_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_14_SEN_Total,E_14_SEN_Dem,E_14_SEN_Rep,E_14_GOV_Total,E_14_GOV_Dem,E_14_GOV_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SCC_Total,E_16_SCC_Dem,E_16_SCC_Rep,E_18_CMPTR_Total,E_18_CMPTR_Dem,E_18_CMPTR_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_18_SCC_Total,E_18_SCC_Dem,E_18_SCC_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_SCC_Total,E_20_SCC_Dem,E_20_SCC_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_LTG_Total,E_22_LTG_Dem,E_22_LTG_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep,ID,Reock,Rating,Polsby-Popper,Rating,KIWYSI Score
1,1,745165,478974,105630,148270,8282,8766,695,0,0,767036,474860,124328,153550,10596,8162,936,0,0,766987,456512,131370,149986,12466,21274,1024,770665,473148,126423,154950,11096,9197,870,142621,8439,2111,503,16313,770178,465144,131932,152702,12822,12584,1376,775110,463713,135421,152696,12442,14914,1574,559633,380987,63190,105802,5726,6342,450,0,0,544503,378641,45308,110072,4931,5072,460,108134,4351,2041,460,430,0,585465,369670,83739,108939,8862,15937,719,585465,369670,83739,103335,7043,2258,205,17740,548330,379018,47321,110752,5141,5500,434,0,0,0,0,551664,375182,55004,108832,5770,6233,457,105929,4544,978,457,554356,374875,57536,108237,5603,7476,372,104602,4364,1002,372,559898,376302,60281,107278,5890,9591,352,102829,4468,1036,352,278172,85174,190391,269773,75957,193816,154409,34276,120133,159032,37506,121526,281960,71388,201793,820043,205141,589961,243824,62548,175743,247110,69181,176494,246918,62185,182125,245469,68037,173271,245804,71256,170538,694203,129685,533458,276348,73502,198719,324129,89143,231048,321372,85377,230061,951881,257019,694862,273272,70333,198741,235207,53080,179620,233524,53721,175170,234032,53415,176141,232715,51271,178096,218866,50562,168299,295132,75188,216090,325730,80850,241942,323370,82928,234536,45751,10733,35018,1,0.4319,73,0.203,26,40
2,2,593844,371033,131790,55664,33780,6765,1500,0,0,717128,396528,185522,87023,48272,7169,1848,0,0,766987,377278,219272,101564,56906,21624,2454,736834,396610,200773,90663,48860,8320,1856,78805,40542,1066,756,16630,772866,387710,226539,103512,52740,11549,1865,792330,378030,241134,115014,56995,14267,2059,428054,282975,82896,36301,23605,4650,912,0,0,474135,302765,88222,54675,23441,3314,528,53080,21690,1023,528,1226,0,565217,297654,145819,69485,41253,15528,1683,565217,297654,145819,62182,36671,1419,798,18214,480870,299990,94726,56446,24130,3642,569,0,0,0,0,496595,295938,105345,64814,25614,3837,479,61922,23547,509,479,507308,291593,112570,69190,28435,4069,468,65579,26029,580,468,523181,292082,118616,75599,31248,4483,475,71460,28287,630,475,216574,63776,152095,221698,60847,160851,129896,29517,100379,134531,35604,98927,259956,83902,162725,764703,221650,511767,237874,79066,152402,240081,91309,146983,239994,78626,157969,239054,88304,145706,239527,86811,148399,667789,166340,463296,272501,97814,168919,330840,127510,198586,327602,117928,201767,962551,351382,611169,272186,99301,166906,239120,88612,147084,237718,86864,144345,238342,87490,144866,236570,80980,150346,236589,81877,153913,301256,113712,181966,337080,127854,204811,336156,133410,195011,331426,115874,215537,2,0.4269,71,0.1702,18,29
3,3,585167,377717,105260,59716,38931,8332,1064,0,0,701230,417856,132080,81859,65990,7694,1583,0,0,766987,415627,149552,94200,91019,23390,1771,722709,422821,136975,86231,72119,8260,1310,74858,63441,2514,237,20571,774007,434473,147047,97760,86824,11999,1821,800813,437419,155246,104677,93431,14093,1688,411724,280979,63368,38431,25571,5475,653,0,0,452839,314201,52287,51873,29338,4077,182,50053,27612,1845,182,1119,0,559537,323213,96391,63626,62400,16566,1156,559537,323213,96391,57440,57489,2567,413,20072,470202,319728,57533,55295,32317,4694,148,0,0,0,0,511655,336870,67542,61714,39236,5110,329,58684,36483,1368,329,527838,340247,73096,64703,42867,5496,368,61389,40180,1342,368,554035,347621,80167,69671,49569,5552,439,66267,46580,1171,439,206447,70202,134641,209632,64587,145045,120291,31356,88935,123917,36899,87018,256071,84177,157174,735449,220383,481492,237910,83747,146863,244614,98465,144127,243299,83536,155598,241430,94020,141265,241809,93031,143598,672541,174832,449745,275070,103182,165424,338661,136761,195871,331147,123561,199626,962581,364530,598051,278745,105368,166699,254613,95516,155587,251024,93595,148785,252253,95223,150772,249743,86232,158261,250301,88234,156116,318533,122314,189211,370352,136992,223427,365752,146460,210996,334426,123919,210182,3,0.2349,0,0.2236,31,50
4,4,610316,423286,65181,56110,59615,9884,837,0,0,724318,457560,82527,70749,105375,12605,1441,0,0,766987,440182,94705,80321,130942,23651,1592,744685,460139,86937,73482,115839,12536,1370,61062,105322,3812,466,24716,777000,457170,97727,81095,130136,13554,1631,797033,460955,103016,81928,139585,15235,1639,452277,325585,41616,39016,40888,6759,553,0,0,484532,352068,37492,46429,40128,7497,394,43954,38145,2924,394,994,0,576718,350322,63059,56851,89994,16573,1038,576718,350322,63059,50962,84802,3392,313,21820,499397,357846,41752,47693,43974,7300,382,0,0,0,0,518359,357695,46992,53318,51668,7383,378,49892,48797,2066,378,532677,362736,50300,54521,55793,7345,444,51080,52581,1816,444,546792,368184,53115,56437,59699,7206,475,52309,56242,1627,475,238127,82461,153877,230266,71381,158885,130317,33835,96482,134044,40141,93903,271225,91498,166233,782645,237329,513097,251818,88300,156475,258029,104003,152132,256741,87261,165384,255124,99398,149963,255397,98433,151900,709735,184468,477473,290307,108931,175513,356596,143877,207432,350672,130058,213455,1024112,382637,641475,292589,110792,175929,263981,98617,162219,260838,97765,155335,262062,98999,157327,259865,89399,165921,259926,85824,164157,327500,125029,196687,367744,134682,225235,364317,142665,214808,344530,123513,220576,4,0.1899,0,0.106,2,13
5,5,679819,386466,165898,104014,20544,9634,912,0,0,728792,369796,203359,126733,26866,9703,1379,0,0,766987,362141,228669,134474,29658,23947,1265,736539,366326,211797,126833,28273,11334,1266,114160,23766,2246,231,16468,767409,365616,230134,136654,28366,16505,1437,780964,366188,235040,142174,30729,19090,1627,500416,309054,102305,70870,14760,6653,580,0,0,474744,298564,76887,82613,11362,4989,145,80015,10586,2084,145,716,0,575347,295704,150962,95060,22003,17681,879,575347,295704,150962,88756,19340,2286,278,16416,481681,296275,83977,83067,12565,5090,198,0,0,0,0,506889,297925,98735,89704,13250,6827,237,85310,11727,1775,237,513874,298240,99715,92783,14979,7329,275,88152,13159,1522,275,525813,296602,106968,97419,16346,7776,325,91921,14353,1705,325,225071,86592,136951,211114,76374,134740,121593,37120,84473,125432,43410,82022,234171,85908,139887,687221,233284,423468,211609,80009,125027,215165,91390,122192,214847,78924,132361,213612,88440,120368,213880,87702,121941,593226,167346,383383,240195,95035,140690,285087,117612,163853,283775,110320,166734,840736,335606,505130,237317,93762,139172,206665,79655,124138,204648,78600,119434,205427,79843,120213,204055,72974,126237,189801,74000,112431,260764,103446,152904,293398,113124,176352,290295,119262,165208,284107,109091,174307,5,0.3067,23,0.1872,22,42
6,6,662847,376536,182148,70208,30193,9269,1915,0,0,724902,367222,222531,92372,38530,11222,3458,0,0,766987,359233,243041,105042,44858,25215,3124,731968,364594,229050,93899,39382,11319,3679,81496,34097,1592,2446,17258,769123,363665,246906,106690,45871,14406,3512,782366,362245,253182,113023,46345,16317,3228,483491,295722,113475,47816,22701,6377,1153,0,0,463601,292199,91200,58652,15286,4212,1045,56704,13666,1393,1045,1179,0,576920,292573,162723,74277,33913,18328,2012,576920,292573,162723,67762,30516,2211,1269,17684,470873,290805,97208,60599,15442,4620,1132,0,0,0,0,496503,293254,106874,70168,19813,4707,1085,67153,17665,833,1085,502889,293548,109430,73988,19401,5184,966,70160,17482,875,966,512413,292069,116637,76415,20194,5912,860,73186,18290,843,860,229133,80956,146860,215365,71177,144188,124566,34662,89904,128471,40761,87710,242318,81387,150002,710671,224921,453028,221892,77552,136316,225878,89883,134165,225230,76934,144417,223786,86571,131616,224257,85364,133854,625403,163086,418815,251592,93682,152480,299767,118506,176747,297545,110799,179075,877100,334911,542189,249678,93668,150681,219778,81758,135173,217611,80286,129914,218300,81945,130526,216717,74893,136508,7944,5253,2499,275266,105504,164300,309826,116800,187669,307145,123556,176282,275418,75007,199334,6,0.397,59,0.2639,41,49
7,7,663603,208194,251482,107846,100050,8832,1237,0,0,759084,229818,271878,122187,137585,5190,1402,0,0,766987,215919,269732,133284,146116,17395,1498,767903,227948,266844,130413,146124,6167,1526,119561,132706,1142,108,16739,775496,220660,275407,140324,142876,10410,1445,779948,220364,274877,142070,146456,12389,1465,501679,177490,172882,75949,76884,6373,889,0,0,419729,182372,93303,72410,68773,2067,85,71323,66114,839,85,785,0,592451,184825,194592,97504,112111,12829,1052,592451,184825,194592,88960,105781,802,231,13601,432414,180638,99339,76892,72677,2183,43,0,0,0,0,442021,177327,105182,81267,74949,2454,98,78453,71858,612,98,450066,178526,103300,84655,79820,2278,159,81847,76497,581,159,458352,178199,105877,87996,82099,2255,433,84409,78516,469,433,182419,103913,77781,198868,107683,91185,101353,51127,50226,105614,59663,45951,216246,136788,68106,629381,354634,246173,205054,122539,76182,208203,141533,65041,207084,124165,78912,206461,136920,65052,206863,134873,67883,542961,257135,232707,230811,147431,78287,277197,180252,92917,271375,165321,99781,792103,491086,301017,223623,143967,74730,186425,120964,62482,184647,118862,60616,185171,119754,60670,183456,111407,67833,184838,119559,64371,237369,149550,82603,254110,153127,93619,251594,158815,85713,226690,141105,85573,7,0.1751,0,0.1073,2,3
8,8,602529,276221,187099,100777,39887,7809,1261,0,0,726361,307204,234640,129618,56109,10194,1311,0,0,766987,297571,261846,142464,57751,22603,1516,735212,303026,236954,142097,54742,10672,1294,127540,46522,1814,373,16433,768165,309717,254200,151673,53424,13934,1546,792816,313115,267911,155012,55376,16565,1762,435309,218589,118085,68558,29727,5171,813,0,0,447729,238541,95713,79778,29154,3955,394,77993,27536,1495,394,746,0,572866,240465,179318,100738,44499,16458,1039,572866,240465,179318,92582,40832,1614,316,15067,462148,237616,105672,85629,28375,3642,284,0,0,0,0,491038,245336,119505,93267,27544,4304,312,89397,26015,775,312,506233,249475,125273,95915,29770,4820,396,91671,27971,780,396,520377,256259,130863,96622,30829,4775,320,91778,29099,795,320,175515,67317,107354,181160,65140,116020,101771,28276,73495,105395,32939,72456,216979,82183,126113,638511,227214,387195,199111,75490,118351,200176,83612,115158,200462,75177,122621,199795,81705,114064,200113,80716,115924,550909,157883,360114,230531,90659,135516,286810,115154,167935,282654,107680,167893,833665,326299,507366,230886,88127,138279,201350,71135,127649,200176,69920,125417,200607,70528,125525,199481,65575,129721,199278,67583,129296,264312,98237,161453,308330,109560,194738,306605,115089,184421,301557,105333,195628,8,0.3429,37,0.1408,10,15
9,9,709321,223739,408649,66303,12212,9121,1026,0,0,761634,199917,472813,78497,12131,9986,682,0,0,766987,192417,476484,80038,14619,22544,1059,761606,192367,484132,75134,12072,9424,693,63706,9405,1463,63,9973,767694,185158,494149,76692,13588,12678,920,762791,184876,486159,79258,14503,14475,777,494129,178689,260481,45536,9053,6205,674,0,0,425268,162329,200316,53183,5887,3398,44,51632,5548,1121,44,503,0,555835,157067,325886,56937,11006,16542,742,555835,157067,325886,51024,9115,1220,159,9443,424706,156542,209477,49328,5876,3165,29,0,0,0,0,433360,151911,220565,49979,7263,3060,127,47564,6814,708,127,428810,151533,214961,51357,7572,3002,68,48560,7104,569,68,431258,148177,219999,51976,7580,2913,161,48990,6864,577,161,154835,67491,86219,159807,69698,90109,77170,28831,48339,80469,32308,48161,172792,80900,86073,504858,228990,255394,149506,70692,74622,150509,75476,74118,150595,69282,79670,150121,74334,73057,150327,73226,74878,401020,146373,230043,171862,80136,88734,208344,93941,111907,203253,88474,109124,599538,272511,327027,165438,74947,87402,130669,55931,72774,129560,54721,71720,129718,54150,72028,128883,51144,73445,129769,56068,73701,177723,76021,98737,198594,78639,118132,196319,84029,106894,190765,78672,112093,9,0.4601,84,0.338,60,52
10,10,638397,426281,110270,69786,29115,7460,808,0,0,717954,452302,143568,76418,43327,10253,1456,0,0,766987,458377,161528,79772,52840,19208,1521,734937,456470,150887,79890,44541,9573,1762,70220,36766,1684,394,17228,765014,466181,159967,81312,50037,13468,1512,777259,467943,166123,81425,51948,15722,1915,498005,347513,74452,51099,21748,5439,574,0,0,514568,365585,72221,52899,18543,4313,298,50865,16252,1351,298,978,0,607084,379564,114502,60167,40152,14552,1031,607084,379564,114502,54281,35671,2093,323,18471,531350,373742,77837,55041,18853,4610,334,0,0,0,0,561528,387653,87608,56126,22588,6548,531,53531,20114,1135,531,569418,389997,91890,55409,23556,7209,492,52429,20849,1188,492,583560,395830,95127,58346,24884,7820,550,54035,22013,1188,550,241114,95197,144055,234236,81311,152925,143373,43836,99537,149123,52403,96720,273455,100316,157495,787207,259462,484964,256395,95810,151792,261810,113345,146058,260453,95996,159076,258731,107895,143661,259426,107759,144693,721376,202248,463779,289247,115400,166722,346398,144424,195622,341825,132545,201162,993649,388805,604844,288713,115568,166120,258668,102086,152718,255507,101378,145770,256685,101775,147976,254567,92356,156696,253341,95449,152995,318194,125827,186116,353548,134085,213878,351469,138044,205419,343934,123633,213940,10,0.2062,0,0.1466,12,19
