state,post_file,post_description
AL,AL_2026_Congressional_-_Overturned.csv,Alabama attempted GOP-backed map
CA,CA_2026_Congressional.csv,California post-redistricting map
FL,FL_2026_Congressional.csv,Florida post-redistricting map
LA,LA_2026_Congressional.csv,Louisiana post-redistricting map
MO,MO_2026_Congressional.csv,Missouri post-redistricting map
NC,NC_2026_Congressional.csv,North Carolina post-redistricting map
OH,OH_2026_Congressional.csv,Ohio post-redistricting map
TN,TN_2026_Congressional.csv,Tennessee post-redistricting map
TX,TX_2026_Congressional.csv,Texas post-redistricting map
UT,UT_2026_Congressional.csv,Utah post-redistricting map
