state,state_name,pre_plan_id,post_plan_id,pre_year,pre_plan_label,pre_file,pre_assignment_blocks,post_year,post_plan_label,post_file,post_assignment_blocks
AL,Alabama,AL_2024_Congressional,AL_2026_Congressional_Overturned,2024,Congressional,AL_2024_Congressional.csv,185976,2026,Congressional Overturned,AL_2026_Congressional_-_Overturned.csv,185976
CA,California,CA_2022_Congressional,CA_2026_Congressional,2022,Congressional,CA_2022_Congressional.csv,519723,2026,Congressional,CA_2026_Congressional.csv,519723
FL,Florida,FL_2022_Congressional,FL_2026_Congressional,2022,Congressional,FL_2022_Congressional.csv,390066,2026,Congressional,FL_2026_Congressional.csv,390066
LA,Louisiana,LA_2024_Congressional,LA_2026_Congressional,2024,Congressional,LA_2024_Congressional.csv,142874,2026,Congressional,LA_2026_Congressional.csv,142874
MO,Missouri,MO_2022_Congressional,MO_2026_Congressional,2022,Congressional,MO_2022_Congressional.csv,253632,2026,Congressional,MO_2026_Congressional.csv,253632
NC,North Carolina,NC_2024_Congressional,NC_2026_Congressional,2024,Congressional,NC_2024_Congressional.csv,236638,2026,Congressional,NC_2026_Congressional.csv,236638
OH,Ohio,OH_2022_Congressional,OH_2026_Congressional,2022,Congressional,OH_2022_Congressional.csv,276428,2026,Congressional,OH_2026_Congressional.csv,276428
TN,Tennessee,TN_2022_Congressional,TN_2026_Congressional,2022,Congressional,TN_2022_Congressional.csv,179717,2026,Congressional,TN_2026_Congressional.csv,179717
TX,Texas,TX_2022_Congressional,TX_2026_Congressional,2022,Congressional,TX_2022_Congressional.csv,668757,2026,Congressional,TX_2026_Congressional.csv,668757
UT,Utah,UT_2022_Congressional,UT_2026_Congressional,2022,Congressional,UT_2022_Congressional.csv,71207,2026,Congressional,UT_2026_Congressional.csv,71207
