state,district_id,incumbent,incumbent_party,presidential_winner,house_winner_party,house_winner,split_ticket_type,in_redrawn_state
AK,AK-AL,Nick Begich,R,Trump,R,Republican,Same party won president and House,FALSE
AL,AL-1,Barry Moore,R,Trump,R,Republican,Same party won president and House,TRUE
AL,AL-2,Shomari Figures,D,Harris,D,Democrat,Same party won president and House,TRUE
AL,AL-3,Mike Rogers,R,Trump,R,Republican,Same party won president and House,TRUE
AL,AL-4,Robert Aderholt,R,Trump,R,Republican,Same party won president and House,TRUE
AL,AL-5,Dale Strong,R,Trump,R,Republican,Same party won president and House,TRUE
AL,AL-6,Gary Palmer,R,Trump,R,Republican,Same party won president and House,TRUE
AL,AL-7,Terri Sewell,D,Harris,D,Democrat,Same party won president and House,TRUE
AR,AR-1,Rick Crawford,R,Trump,R,Republican,Same party won president and House,FALSE
AR,AR-2,French Hill,R,Trump,R,Republican,Same party won president and House,FALSE
AR,AR-3,Steve Womack,R,Trump,R,Republican,Same party won president and House,FALSE
AR,AR-4,Bruce Westerman,R,Trump,R,Republican,Same party won president and House,FALSE
AZ,AZ-1,David Schweikert,R,Trump,R,Republican,Same party won president and House,FALSE
AZ,AZ-2,Eli Crane,R,Trump,R,Republican,Same party won president and House,FALSE
AZ,AZ-3,Yassamin Ansari,D,Harris,D,Democrat,Same party won president and House,FALSE
AZ,AZ-4,Greg Stanton,D,Harris,D,Democrat,Same party won president and House,FALSE
AZ,AZ-5,Andy Biggs,R,Trump,R,Republican,Same party won president and House,FALSE
AZ,AZ-6,Juan Ciscomani,R,Trump,R,Republican,Same party won president and House,FALSE
AZ,AZ-7,Adelita Grijalva,D,Harris,D,Democrat,Same party won president and House,FALSE
AZ,AZ-8,Abe Hamadeh,R,Trump,R,Republican,Same party won president and House,FALSE
AZ,AZ-9,Paul Gosar,R,Trump,R,Republican,Same party won president and House,FALSE
CA,CA-1,VACANT (LaMalfa),R,Trump,R,Republican,Same party won president and House,TRUE
CA,CA-2,Jared Huffman,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-3,Kevin Kiley,R,Trump,R,Republican,Same party won president and House,TRUE
CA,CA-4,Mike Thompson,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-5,Tom McClintock,R,Trump,R,Republican,Same party won president and House,TRUE
CA,CA-6,Ami Bera,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-7,Doris Matsui,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-8,John Garamendi,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-9,Josh Harder,D,Trump,D,Democrat,Democrat won Trump district,TRUE
CA,CA-10,Mark DeSaulnier,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-11,Nancy Pelosi,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-12,Lateefah Simon,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-13,Adam Gray,D,Trump,D,Democrat,Democrat won Trump district,TRUE
CA,CA-14,VACANT (Swalwell),D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-15,Kevin Mullin,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-16,Sam Liccardo,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-17,Ro Khanna,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-18,Zoe Lofgren,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-19,Jimmy Panetta,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-20,Vince Fong,R,Trump,R,Republican,Same party won president and House,TRUE
CA,CA-21,Jim Costa,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-22,David Valadao,R,Trump,R,Republican,Same party won president and House,TRUE
CA,CA-23,Jay Obernolte,R,Trump,R,Republican,Same party won president and House,TRUE
CA,CA-24,Salud Carbajal,D,Harris,D,Democrat,Same party won president and House,TRUE
CA,CA-25,Raul Ruiz,D,Harris,D,Democrat,Same party won president and House,TRUE
