state,map_type,district,district_id,vap_total,black_vap,black_vap_share
AL,Before redistricting,1,AL-1,557336,90582,0.16252673432184536
AL,Before redistricting,2,AL-2,558661,272023,0.48691961672642264
AL,Before redistricting,3,AL-3,564595,116843,0.206950114683977
AL,Before redistricting,4,AL-4,555217,40112,0.07224562648477982
AL,Before redistricting,5,AL-5,560406,102735,0.1833224483677905
AL,Before redistricting,6,AL-6,552411,96958,0.17551786622641474
AL,Before redistricting,7,AL-7,568540,295119,0.5190822105744539
AL,After redistricting,1,AL-1,557393,137268,0.24626789356881051
AL,After redistricting,2,AL-2,559067,223228,0.399286668681929
AL,After redistricting,3,AL-3,564595,116843,0.206950114683977
AL,After redistricting,4,AL-4,555217,40112,0.07224562648477982
AL,After redistricting,5,AL-5,560406,102735,0.1833224483677905
AL,After redistricting,6,AL-6,552230,106353,0.192588233163718
AL,After redistricting,7,AL-7,568258,287833,0.5065181660442968
CA,Before redistricting,1,CA-1,592603,15965,0.02694046435809471
CA,Before redistricting,2,CA-2,614494,15735,0.025606433911478387
CA,Before redistricting,3,CA-3,603885,14325,0.02372140390968479
CA,Before redistricting,4,CA-4,611312,24962,0.04083348601041694
CA,Before redistricting,5,CA-5,599484,18592,0.031013338137464888
CA,Before redistricting,6,CA-6,577524,64045,0.11089582424280203
CA,Before redistricting,7,CA-7,582846,72402,0.12422149246970898
CA,Before redistricting,8,CA-8,588571,104392,0.17736517769309054
CA,Before redistricting,9,CA-9,561822,50490,0.08986832128325341
CA,Before redistricting,10,CA-10,585695,34008,0.05806435089935888
CA,Before redistricting,11,CA-11,664995,43691,0.06570124587402913
CA,Before redistricting,12,CA-12,621080,111824,0.1800476589167257
CA,Before redistricting,13,CA-13,544744,21852,0.04011425550350256
CA,Before redistricting,14,CA-14,592734,38914,0.06565170886097305
CA,Before redistricting,15,CA-15,609967,22421,0.03675772623764892
CA,Before redistricting,16,CA-16,600512,16618,0.027673052328679528
CA,Before redistricting,17,CA-17,603500,16225,0.02688483844241922
CA,Before redistricting,18,CA-18,570234,17122,0.030026269917262035
CA,Before redistricting,19,CA-19,609585,19782,0.03245158591500775
CA,Before redistricting,20,CA-20,569445,25129,0.04412893255713897
CA,Before redistricting,21,CA-21,531422,30845,0.058042384395075856
CA,Before redistricting,22,CA-22,543049,31488,0.05798371785971432
CA,Before redistricting,23,CA-23,570766,57279,0.10035461117165353
CA,Before redistricting,24,CA-24,612075,15700,0.025650451333578402
CA,Before redistricting,25,CA-25,572587,32349,0.056496218041974404
CA,Before redistricting,26,CA-26,587257,15872,0.027027349184428624
CA,Before redistricting,27,CA-27,572464,64775,0.11315121998937924
CA,Before redistricting,28,CA-28,619390,29460,0.04756292481312259
CA,Before redistricting,29,CA-29,593418,31131,0.05246049159277272
CA,Before redistricting,30,CA-30,649795,31723,0.04882001246546988
CA,Before redistricting,31,CA-31,596625,19758,0.03311627906976744
CA,Before redistricting,32,CA-32,620064,34997,0.05644094803117097
CA,Before redistricting,33,CA-33,553468,66067,0.11936914148604798
CA,Before redistricting,34,CA-34,610534,34589,0.0566536834967422
CA,Before redistricting,35,CA-35,575415,44010,0.07648392899038085
CA,Before redistricting,36,CA-36,634602,30729,0.04842247581949001
CA,Before redistricting,37,CA-37,592275,156977,0.2650407327677177
CA,Before redistricting,38,CA-38,600686,16159,0.02690090995961284
CA,Before redistricting,39,CA-39,560688,58471,0.10428437919127928
CA,Before redistricting,40,CA-40,602203,15176,0.0252008043799184
CA,Before redistricting,41,CA-41,593176,36609,0.061716927185186184
CA,Before redistricting,42,CA-42,586430,46534,0.07935132922940505
CA,Before redistricting,43,CA-43,569643,155908,0.273694226032796
CA,Before redistricting,44,CA-44,585395,74822,0.1278145525670701
CA,Before redistricting,45,CA-45,603905,17509,0.028992970748710475
CA,Before redistricting,46,CA-46,579793,15572,0.026857861340167957
CA,Before redistricting,47,CA-47,616104,14966,0.024291353407866204
CA,Before redistricting,48,CA-48,582232,25522,0.04383476002693085
CA,Before redistricting,49,CA-49,599978,19910,0.03318455010017034
CA,Before redistricting,50,CA-50,619990,24736,0.03989741770028549
CA,Before redistricting,51,CA-51,606885,45225,0.07451988432734373
CA,Before redistricting,52,CA-52,579759,54670,0.09429780305264773
CA,After redistricting,1,CA-1,605483,15539,0.025663808893065534
CA,After redistricting,2,CA-2,613701,15177,0.024730283965644508
CA,After redistricting,3,CA-3,600433,40084,0.06675848929022889
CA,After redistricting,4,CA-4,591002,18842,0.03188144879374351
CA,After redistricting,5,CA-5,599254,19657,0.03280245104746902
CA,After redistricting,6,CA-6,576315,48424,0.08402349409611064
CA,After redistricting,7,CA-7,586863,59436,0.1012774702102535
CA,After redistricting,8,CA-8,600387,93803,0.15623756010706427
CA,After redistricting,9,CA-9,567270,74526,0.13137659315669786
CA,After redistricting,10,CA-10,588180,29579,0.050289027168553845
CA,After redistricting,11,CA-11,664995,43691,0.06570124587402913
CA,After redistricting,12,CA-12,621080,111824,0.1800476589167257
CA,After redistricting,13,CA-13,535741,25596,0.04777681752936587
CA,After redistricting,14,CA-14,590385,35060,0.05938497759936313
CA,After redistricting,15,CA-15,609967,22421,0.03675772623764892
CA,After redistricting,16,CA-16,600046,16513,0.027519556833976062
CA,After redistricting,17,CA-17,605246,16976,0.02804809945047138
CA,After redistricting,18,CA-18,574921,16613,0.028896143991957154
CA,After redistricting,19,CA-19,609585,19782,0.03245158591500775
CA,After redistricting,20,CA-20,561841,23306,0.04148148675514959
CA,After redistricting,21,CA-21,537056,30925,0.05758244950247274
CA,After redistricting,22,CA-22,539701,33102,0.061333960841280635
CA,After redistricting,23,CA-23,575877,56034,0.09730202803723711
CA,After redistricting,24,CA-24,611943,15747,0.025732788838176104
CA,After redistricting,25,CA-25,579383,27286,0.04709492684459157
