state,old_district,new_district,matched_pop,old_district_retained_share,new_district_from_old_share
AL,1,1,460807,0.6420124443750923,0.6420124443750923
AL,2,2,408503,0.5691406805117074,0.5691398875660915
AL,3,3,717754,1,1
AL,4,4,717754,1,1
AL,5,5,717754,1,1
AL,6,6,675761,0.9414925705846703,0.9414938823050795
AL,7,7,665450,0.9271282361366151,0.9271282361366151
CA,1,1,339108,0.4435230937850684,0.4429964192729596
CA,2,2,529680,0.6917248458349984,0.6923912517761415
CA,3,3,361107,0.47226370924499433,0.4730921758542941
CA,4,4,404153,0.5282099806962675,0.533101794448343
CA,5,5,562098,0.7347590227578724,0.7291952877808436
CA,6,6,423102,0.5591188402732811,0.5585932652269084
CA,7,7,557907,0.7359085632881338,0.7353130346076491
CA,8,8,586329,0.773471108068212,0.7664982449718607
CA,9,9,546176,0.7167391267261483,0.7163894066245978
CA,10,10,629594,0.8281233147345798,0.8293756701856628
CA,11,11,759192,1,1
CA,12,12,758548,1,1
CA,13,13,614550,0.8001203012217605,0.8098886674890091
CA,14,14,679828,0.8951984156246379,0.8938260437401885
CA,15,15,759058,1,1
CA,16,16,743640,0.9799913813893358,0.9800469174200691
CA,17,17,732060,0.964585993303792,0.9646520882610672
CA,18,18,721438,0.9450290344680332,0.9359284715357292
CA,19,19,758545,1,1
CA,20,20,610024,0.7992830320198528,0.7996025738325279
CA,21,21,662750,0.8762732571053828,0.8761771047750495
CA,22,22,658879,0.8422902229091322,0.846730365163305
CA,23,23,696697,0.9126225928443897,0.9056104675346284
CA,24,24,760594,0.9945928557698217,0.9945863529017933
CA,25,25,628464,0.816865966517625,0.8228542698566699
CA,26,26,624970,0.8237184302995316,0.8240496932410177
CA,27,27,652264,0.8579858384403606,0.8580964546807187
CA,28,28,699452,0.9228926059288209,0.9227367651734323
CA,29,29,704371,0.9299228596965349,0.9299486421187436
CA,30,30,736008,0.9708369552456942,0.9707012316956884
CA,31,31,519479,0.6859963922658208,0.6846664109772476
CA,32,32,593217,0.7822758669799901,0.7819541438954752
CA,33,33,672022,0.8874881474027294,0.8875362035561037
CA,34,34,757694,1,1
CA,35,35,520908,0.6833023103894724,0.6808533998360958
CA,36,36,758224,1,1
CA,37,37,755317,1,1
CA,38,38,299687,0.3955099686824869,0.39561439058616044
CA,39,39,745166,0.9850035227511563,0.9850126370779269
CA,40,47,301851,0.39767259868993104,0.39756836743967344
CA,41,40,382932,0.502675944850726,0.5049508475582016
CA,42,41,243815,0.32212994329382044,0.3217647672099907
CA,43,43,754875,1,1
CA,44,44,624349,0.8237326687345224,0.8239957556265004
CA,45,45,644483,0.8496238222611268,0.8498815145565005
CA,46,46,685305,0.9045223145993562,0.9044745625809211
CA,47,42,393277,0.5181098752274191,0.5188405682381872
CA,48,48,245377,0.32345307315812855,0.32369586094811936
CA,49,49,516763,0.6812816077709632,0.6811594775997427
CA,50,50,330651,0.4354498427565281,0.4354314926701819
CA,51,51,430156,0.5673376848619297,0.567479142810404
CA,52,52,697888,0.9168417222049247,0.9167694585331699
FL,1,1,769221,1,1
FL,2,2,769221,1,1
FL,3,3,769221,1,1
FL,4,4,769221,1,1
FL,5,5,769221,1,1
FL,6,6,769221,1,1
FL,7,7,769221,1,1
FL,8,8,609433,0.7922729618666157,0.7922739918358856
FL,9,9,444515,0.5778768390358557,0.5778768390358557
FL,10,10,591443,0.7688856648479435,0.7688856648479435
FL,11,11,650732,0.8459623437217653,0.8459623437217653
FL,12,12,318873,0.4145401646600912,0.4145401646600912
FL,13,13,606406,0.788337811890211,0.788337811890211
FL,14,14,242141,0.31478729779868203,0.31478729779868203
FL,15,15,278558,0.36212999905098797,0.36212999905098797
FL,16,16,399710,0.519629599295911,0.519629599295911
FL,17,17,656530,0.853499839447961,0.853499839447961
FL,18,18,487025,0.6331405408848693,0.6331405408848693
FL,19,19,616235,0.8011156741690619,0.8011156741690619
FL,20,20,507233,0.6594112745231865,0.6594112745231865
FL,21,21,734215,0.9544916220435999,0.9544916220435999
FL,22,23,616764,0.8018044252619536,0.8018033829029628
FL,23,25,356455,0.46339738514679135,0.46339738514679135
FL,24,24,535388,0.69601323936814,0.69601323936814
FL,25,22,180289,0.23437867660919293,0.23437867660919293
FL,26,26,471945,0.6135362919109073,0.6135362919109073
FL,27,27,757078,0.9842138995165238,0.9842138995165238
FL,28,28,757078,0.9842138995165238,0.9842138995165238
LA,1,1,657855,0.8473942037311597,0.847479352630406
LA,2,2,628406,0.8094719160754126,0.8095428265193598
LA,3,3,634667,0.8175674718242093,0.8174958620734072
LA,4,4,583702,0.7519006778289893,0.7518667795042617
LA,5,5,440683,0.5676819724714506,0.5676819724714506
LA,6,6,214965,0.2769311037823354,0.27691576396752215
MO,1,1,722708,0.9393577032457978,0.9393577032457978
MO,2,2,594357,0.7725302977524293,0.7725302977524293
MO,3,3,464756,0.604078173660322,0.604078173660322
MO,4,4,476093,0.6188137214634425,0.6188137214634425
MO,5,5,328827,0.42740107413396,0.42740107413396
MO,6,6,610201,0.793123930935162,0.793123930935162
MO,7,7,769365,1,1
MO,8,8,769364,1,1
NC,1,1,473980,0.6356431129051725,0.6356422604607126
NC,2,2,745670,1,1
NC,3,3,473980,0.6356422604607126,0.6356431129051725
NC,4,4,745671,1,1
NC,5,5,745671,1,1
NC,6,6,745671,1,1
NC,7,7,745671,1,1
NC,8,8,745671,1,1
NC,9,9,745671,1,1
NC,10,10,745670,1,1
NC,11,11,745670,1,1
NC,12,12,745670,1,1
NC,13,13,745670,1,1
NC,14,14,745671,1,1
OH,1,1,686632,0.872877973125866,0.872877973125866
OH,2,2,641116,0.8150169902202945,0.8150169902202945
OH,3,3,786630,1,1
OH,4,4,569658,0.7241752793562412,0.7241752793562412
OH,5,5,634252,0.806290123692206,0.806290123692206
OH,6,6,640670,0.8144489785540852,0.8144489785540852
OH,7,7,734183,0.933326977104865,0.933326977104865
OH,8,8,642497,0.8167725827550217,0.8167715444363932
OH,9,9,705711,0.8971320697151138,0.8971320697151138
OH,10,10,705275,0.8965778065926802,0.8965789463648047
OH,11,11,786630,1,1
OH,12,12,657176,0.8354321599735581,0.8354321599735581
OH,13,13,725229,0.9219442431638762,0.9219442431638762
OH,14,14,734655,0.9339270050722703,0.9339270050722703
OH,15,15,670844,0.8528075461144375,0.8528075461144375
TN,1,1,767871,1,1
TN,2,2,767726,0.9998111661984891,0.9998111661984891
TN,3,3,722424,0.9408142773981567,0.9408142773981567
TN,4,4,516641,0.6728217723787298,0.672822648595923
TN,5,9,174247,0.22692223042672532,0.22692193490581763
TN,6,6,473110,0.6161321367781828,0.6161321367781828
TN,7,7,415014,0.5404735951741895,0.5404735951741895
TN,8,8,469049,0.6108434880337973,0.6108434880337973
TN,9,5,245653,0.3199144127073428,0.3199144127073428
TX,1,1,650250,0.8477979418164845,0.8477979418164845
TX,2,2,612027,0.7979626773335141,0.7979626773335141
TX,3,3,582192,0.7590637129442872,0.7590637129442872
TX,4,4,531847,0.6934237477297529,0.6934237477297529
TX,5,5,583844,0.7612175956046191,0.7612175956046191
TX,6,6,484163,0.6312532024662739,0.6312532024662739
TX,7,7,572006,0.7457831749429912,0.7457831749429912
TX,8,8,504409,0.6576499992829083,0.6576499992829083
TX,9,18,494833,0.6451647811501369,0.6451647811501369
TX,10,10,427746,0.557696545052263,0.557696545052263
TX,11,11,566229,0.7382511046471453,0.7382511046471453
TX,12,12,627655,0.8183385116044991,0.8183385116044991
TX,13,13,754482,0.9836959426952477,0.9836959426952477
TX,14,14,578490,0.7542370340044877,0.7542370340044877
TX,15,15,311665,0.4063497816781771,0.4063497816781771
TX,16,16,737133,0.9610775164083829,0.9610762633525731
TX,17,17,407136,0.5308251639206402,0.5308251639206402
TX,18,29,445987,0.5814792167272718,0.5814792167272718
TX,19,19,766987,1,1
TX,20,20,464371,0.6054483322403118,0.6054483322403118
TX,21,21,536010,0.6988514798816668,0.6988514798816668
TX,22,22,505468,0.6590307267267894,0.6590307267267894
TX,23,23,623011,0.8122836501792078,0.8122836501792078
TX,24,24,663595,0.8651971936942868,0.8651971936942868
TX,25,25,468712,0.6111081413374673,0.6111081413374673
TX,26,26,713924,0.9308162980598107,0.9308162980598107
TX,27,27,305290,0.39803803715056446,0.39803803715056446
TX,28,28,411173,0.5360886168865965,0.5360886168865965
TX,29,9,335238,0.43708433128592794,0.43708433128592794
TX,30,30,526682,0.6866896049085578,0.6866896049085578
TX,31,31,558670,0.7283956572927572,0.7283956572927572
TX,32,32,316267,0.412349883374816,0.412349883374816
TX,33,33,250706,0.3268712507513165,0.3268712507513165
TX,34,34,472571,0.6161395173581821,0.6161395173581821
TX,35,35,73184,0.09541752337392942,0.09541752337392942
TX,36,36,454530,0.5926176062958042,0.5926176062958042
TX,37,37,519874,0.6778133136545991,0.6778133136545991
TX,38,38,629592,0.8208639781378302,0.8208650483841947
UT,1,2,689534,0.843050040102506,0.843050040102506
UT,2,1,320192,0.3914787065474677,0.3914787065474677
UT,3,3,400266,0.4893801717560985,0.4893801717560985
UT,4,4,392507,0.47989372835931843,0.47989372835931843
