state,old_district,new_district,matched_pop
AL,1,1,460807
AL,1,2,256947
AL,2,1,256947
AL,2,2,408503
AL,2,7,52304
AL,3,3,717754
AL,4,4,717754
AL,5,5,717754
AL,6,2,41994
AL,6,6,675761
AL,7,2,10311
AL,7,6,41993
AL,7,7,665450
CA,1,1,339108
CA,1,2,234931
CA,1,4,190539
CA,2,1,196623
CA,2,2,529680
CA,2,4,39435
CA,2,11,0
CA,3,1,23026
CA,3,3,361107
CA,3,4,73848
CA,3,5,33686
CA,3,6,256682
CA,3,7,16281
CA,4,1,206730
CA,4,2,390
CA,4,4,404153
CA,4,6,0
CA,4,8,153864
CA,5,3,10
CA,5,5,562098
CA,5,7,125288
CA,5,13,44125
CA,5,21,33489
CA,6,3,283170
CA,6,4,50141
CA,6,6,423102
CA,6,7,317
CA,7,3,119004
CA,7,6,77658
CA,7,7,557907
CA,7,8,3551
CA,8,8,586329
CA,8,9,139400
CA,8,10,32320
CA,9,5,17962
CA,9,7,58941
CA,9,8,21201
CA,9,9,546176
CA,9,10,17616
CA,9,13,100133
CA,10,9,74653
CA,10,10,629594
CA,10,14,56019
CA,11,11,759192
CA,12,11,0
CA,12,12,758548
CA,13,5,73481
CA,13,9,2172
CA,13,13,614550
CA,13,18,18325
CA,13,21,55
CA,13,22,59489
CA,14,10,79588
CA,14,14,679828
CA,15,15,759058
CA,16,15,0
CA,16,16,743640
CA,16,17,0
CA,16,18,15183
CA,17,14,24735
CA,17,17,732060
CA,17,18,2142
CA,18,16,15140
CA,18,17,26825
CA,18,18,721438
CA,18,19,0
CA,19,18,0
CA,19,19,758545
CA,20,5,83620
CA,20,20,610024
CA,20,21,60117
CA,20,22,8617
CA,20,23,836
CA,21,20,42418
CA,21,21,662750
CA,21,22,51160
CA,22,18,13738
CA,22,20,109630
CA,22,22,658879
CA,23,20,837
CA,23,23,696697
CA,23,25,28524
CA,23,27,162
CA,23,33,37181
CA,24,24,760594
CA,24,26,4135
CA,25,23,28902
CA,25,25,628464
CA,25,48,111994
CA,26,24,4140
CA,26,26,624970
CA,26,32,129608
CA,27,23,44
CA,27,26,53149
CA,27,27,652264
CA,27,28,172
CA,27,30,21015
CA,27,32,33583
CA,28,28,699452
CA,28,30,53
CA,28,31,14027
CA,28,33,6517
CA,28,35,37842
CA,29,27,52027
CA,29,29,704371
CA,29,30,1053
CA,29,32,0
CA,30,29,19883
CA,30,30,736008
CA,30,32,2226
CA,31,28,150
